,usuario,texto;;;;;;;;;;;;;;;;;;;;;;
673,@UOLNoticias,@UOLNoticias E o CORONAVÕRUS ????;;;;;;;;;;;;;;;;;;;;;;
"687,@UOLNoticias,""@alexand80807045 @zfabrogmailcom @globo @folha @UOLNoticias @CNNBrasil Exatamente. Eu digo isso desde quando comeÁou esta histeria.";;;;;;;;;;;;;;;;;;;;;;
"Pois parece que antes do coronavÌrus, ninguÈm morria.üòéüëä""";;;;;;;;;;;;;;;;;;;;;;
692,@UOLNoticias,@beththj @UOLNoticias Vai pra rua mesmo pegar corona;;;;;;;;;;;;;;;;;;;;;;
761,@UOLNoticias,@UOLNoticias Para fazer aÁıes contra o coronavÌrus È um BOSTA;;;;;;;;;;;;;;;;;;;;;;
797,@UOLNoticias,@UOLNoticias SÛ pega corona de domingo no piaui;;;;;;;;;;;;;;;;;;;;;;
"822,@UOLNoticias,""@UOLNoticias coronavÌrus desnudando nossas desigualdades nutricionais no Brasil. N„o √† atoa, aqui atÈ os mais jovens EST√O morrendo...""";;;;;;;;;;;;;;;;;;;;;;
"842,@UOLNoticias,""@UOLNoticias Fim do assunto coronavÌrus para nova narrativa, causada ali· pelos governadores por """"causa"""" justamente do";" coronavÌrus.""";;;;;;;;;;;;;;;;;;;;;
"844,@UOLNoticias,""@UOLNoticias ESQUE«A O PIB : O MUNDO ESTA MORRENDO ! ";;;;;;;;;;;;;;;;;;;;;;
CALA BOCA  PSDB  O CORONAVÕçRUS EST¡Å AI ..;;;;;;;;;;;;;;;;;;;;;;
"PSDB SS” SABE RECLAMAR  E CRITICAR .""";;;;;;;;;;;;;;;;;;;;;;
894,@UOLNoticias,@UOLNoticias Pensei que ele dizer que era contra o coronavÌrus.;;;;;;;;;;;;;;;;;;;;;;
913,@UOLNoticias,@UOLNoticias Vamos combinar que n„o foi sÛ coronavÌrus e sim a polÌtica econÙmica do governo que È um desastre.;;;;;;;;;;;;;;;;;;;;;;
"915,@UOLNoticias,""@UOLNoticias Perdoar a dÌvida da Regina Duarte com o fundo da Lei Rouanet seria um bom cala-boca, n„o acham? O Capit„o Corona anda """"generoso"""". Ou ser·que t·querendo acalmar os ruralistas?""";;;;;;;;;;;;;;;;;;;;;;
925,@UOLNoticias,@UOLNoticias coronavÌrus curtiu isso https://t.co/TKJhZXV351;;;;;;;;;;;;;;;;;;;;;;
"936,@UOLNoticias,""@UOLNoticias Pena que ele invadiu um hospital de campanha e n„o pegou coronavÌrus, tinha que invadir um presÌdio e ficar l· o Povo de bem do Brasil iriam ficar eternamente gratos com essa atitude!""";;;;;;;;;;;;;;;;;;;;;;
"977,@UOLNoticias,""@araqueiro @UOLNoticias Aqui em casa estou eu, minha m„e e meu sobrinho. TrÍs geraÁıes: m„e, filho e neto. Trabalho em shopping. Imagina se, por acaso, eu trago corona para casa?""";;;;;;;;;;;;;;;;;;;;;;
978,@UOLNoticias,@UOLNoticias Sem m·cara...capaz de pegar corona üòÇüòÇüòÇ;;;;;;;;;;;;;;;;;;;;;;
"979,@UOLNoticias,""@UOLNoticias A POLÕTICA BRASILEIRA PRECISA DE UMA DEMOCRACIA HONESTA, EST¡Å  NUMA BRIGA    SEM RESPEITO ENQUANTO TEM 13 MILH’ES  DE DESEMPREGADOS E POVO DE TODO SERT√O  DO NORDESTE SEM √ÅGUA  E COM FOME ABANDONADOS TENHAM POR DEUS PENA DOS POBRES SOFREDORES. O CORONAVÕçRUS CONTINUA MATANDO.""";;;;;;;;;;;;;;;;;;;;;;
"982,@UOLNoticias,""@UOLNoticias 1. Ir atÈ algum portador de coronavÌrus. Pedir que ele cuspa em um vidrinho.";;;;;;;;;;;;;;;;;;;;;;
2. Descobrir onde esse vÈio cartomante mora na VirgÌnia.;;;;;;;;;;;;;;;;;;;;;;
3.  Amarrar o vidrinho em um drone.;;;;;;;;;;;;;;;;;;;;;;
4. Esperar o vÈio sair no jardim.;;;;;;;;;;;;;;;;;;;;;;
5. Jogar o drone em cima desse vÈio cuz„o.;;;;;;;;;;;;;;;;;;;;;;
"6. Esperar a natureza agir!""";;;;;;;;;;;;;;;;;;;;;;
"995,@UOLNoticias,""@UOLNoticias O dia que esse cara pegar corona, vai virar legume depois de tanta maldade que fez""";;;;;;;;;;;;;;;;;;;;;;
"1009,@UOLNoticias,""@anicdam @UOLNoticias Aqui em Curitiba tem uma hamburgueria famosa antes do corona 400 hamb˙rguer dia reabriu 19/04 vende 30...40 por dia.";;;;;;;;;;;;;;;;;;;;;;
"NinguÈm vai...""";;;;;;;;;;;;;;;;;;;;;;
"1025,@UOLNoticias,""@UOLNoticias Deve sair tanto coronavÌrus da boca desse dono da Havan, AFFü§¢""";;;;;;;;;;;;;;;;;;;;;;
"1054,@UOLNoticias,""@UOLNoticias Boa soluÁ„o.";;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
Tipo se pararmos de contar o n˙mero de mortos por coronavÌrus, superamos a pandemia.;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
"Realmente nenhum deles seria Ministro do Haddad. ü§î""";;;;;;;;;;;;;;;;;;;;;;
1055,@UOLNoticias,@UOLNoticias Tem uma galera louca pra pegar um CORONAVÕRUS.;;;;;;;;;;;;;;;;;;;;;;
"1075,@UOLNoticias,""@V3ntoS @CCriancinhas @UOLNoticias @SOCIO_CORONA O pobre da direita se acha amea·dor! Quando te chamo de gado vc se ofende mas quando te chamo de fascista vc n„o diz nada! Fato este q vc concorda, nÈ!? https://t.co/5XUlAKh7zi""";;;;;;;;;;;;;;;;;;;;;;
"1086,@UOLNoticias,""@V3ntoS @CCriancinhas @UOLNoticias @SOCIO_CORONA Olha sÛ, o gado fascista È nervosinho! J·tomou sua cloroquina na mamadeira de piroca hj!?""";;;;;;;;;;;;;;;;;;;;;;
1088,@UOLNoticias,@V3ntoS @CCriancinhas @UOLNoticias @SOCIO_CORONA Fascista s„o aqueles q ainda apoiam esses governo.;;;;;;;;;;;;;;;;;;;;;;
1102,@UOLNoticias,@UOLNoticias Esse cara tem que ser pego pelo Corona.;;;;;;;;;;;;;;;;;;;;;;
1104,@UOLNoticias,@UOLNoticias Bolsovirus mata mais que o corona https://t.co/WauBBUTQgU;;;;;;;;;;;;;;;;;;;;;;
"1116,@UOLNoticias,""@reinaldoazevedo @UOLNoticias @UOL O Brasil servindo de Chacotas para outras NaÁıes . Desemprego , vÌtimas do coronavÌrus , Rombo nas Contas P˙blicas... Pedindo dinheiro emprestado .... E o Presidente Preocupado com amigos da Fakenews... AlguÈm pega esse Tim„o... Somos uma NaÁ„o sem DireÁ„o...""";;;;;;;;;;;;;;;;;;;;;;
"1125,@UOLNoticias,""@blogdojosias @UOLNoticias @UOL Somos motivos de Chacotas de outras NaÁıes . O Presidente Preocupado com Fakenews , os Brasileiros ficando desempregados , coronavÌrus. Ele apoiando essa cambada . O que os Militares EST√O pensando Nessa Merda... V„o apoiar um Governo que n„o Anda , Triste Sina""";;;;;;;;;;;;;;;;;;;;;;
"1139,@UOLNoticias,""@UOLNoticias @erikaluso coronavÌrus, nunca te pedi nada""";;;;;;;;;;;;;;;;;;;;;;
1141,@UOLNoticias,@UOLNoticias e o corona que n„o age nesse corpitcho hein?;;;;;;;;;;;;;;;;;;;;;;
"1151,@UOLNoticias,""@UOLNoticias Enquanto isso, pandemia do coronavÌrus ü¶† que lute nÈ, pelo amor de Deus.""";;;;;;;;;;;;;;;;;;;;;;
1252,@UOLNoticias,@blogdojosias @UOLNoticias @UOL Bolsonaro trocou o coronavÌrus pelo Edgar Corona. Talvez um pouco de cloroquina resolva o problema agora.;;;;;;;;;;;;;;;;;;;;;;
"1254,@UOLNoticias,""@UOLNoticias Nesse mundo palmeiras tambÈm tem mundial, bolsonaro n„o È presidente, o dÛlar t·a 2 conto, o corona È sÛ uma cerveja e antes que eu me esque·, os unicÛrnios existem""";;;;;;;;;;;;;;;;;;;;;;
"1261,@UOLNoticias,""@UOLNoticias @GaduOAprendiz Olha a carca· desse moÁo! N„o aguenta uma """"CORONA""""da.""";;;;;;;;;;;;;;;;;;;;;;
1277,@UOLNoticias,@UOLNoticias Eu fechava atÈ sem corona;;;;;;;;;;;;;;;;;;;;;;
"1321,@UOLNoticias,""@UOLNoticias @allantercalivre @jairbolsonaro Esse Allan È aquele da dancinha do """"corona È o caralho""""?""";;;;;;;;;;;;;;;;;;;;;;
"1328,@UOLNoticias,""@UOLNoticias j·era! ";;;;;;;;;;;;;;;;;;;;;;
o bolsonaro venceu! ;;;;;;;;;;;;;;;;;;;;;;
as instituiÁıes democr·icas v„o acabar! ;;;;;;;;;;;;;;;;;;;;;;
a amazÙnia vai vira pasto! ;;;;;;;;;;;;;;;;;;;;;;
os Ìndios v„o ser dizimados (de vez!)!;;;;;;;;;;;;;;;;;;;;;;
a gente vai trabalhar atÈ morrer!;;;;;;;;;;;;;;;;;;;;;;
"quem for de esquerda se n„o morrer de corona vai morrer de fome... e se der muita sorte, sÛ vai preso!""";;;;;;;;;;;;;;;;;;;;;;
"1332,@UOLNoticias,""@UOLNoticias vai corona manda ver, nunca te pedi nada.""";;;;;;;;;;;;;;;;;;;;;;
1350,@UOLNoticias,@UOLNoticias kkkkkkkkkkkkk vai se foder seu chupa pica do capit„o corona;;;;;;;;;;;;;;;;;;;;;;
"1357,@UOLNoticias,""@UOLNoticias Parabenizo o governador e todos q participaram da organizaÁ„o no combate ao coronavÌrus...";;;;;;;;;;;;;;;;;;;;;;
Trouxe o Dr.Gabardo p/a equipe e EST√O tendo uma organizaÁ„o q n„o d·para colocar defeito...;;;;;;;;;;;;;;;;;;;;;;
"sÛ a mesma metodologia q fizeram na Espanha e est·dando certo l· vai dar certo aqui tambÈm!!!""";;;;;;;;;;;;;;;;;;;;;;
"1365,@UOLNoticias,""@oicram2016 @UOLNoticias Se n„o tivesse esse corona, dava pra comemorar! ver alan dos  sem saÌ≠da n„o tem preÁo . A casa CAIU.""";;;;;;;;;;;;;;;;;;;;;;
1372,@UOLNoticias,@BlogdoNoblat @UOLNoticias @UOL Quebrou o de Edgar Corona tbm?;;;;;;;;;;;;;;;;;;;;;;
