;usuario;texto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9341;@jairbolsonaro;@douglasdbastos @EuCaiao @Bolsoneas @jairbolsonaro Bosta como vc tem q pegar corona, fudido;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9343;@jairbolsonaro;@andrefernm @jairbolsonaro Vai que È tua, Corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9344;@jairbolsonaro;@jairbolsonaro infelizmente o Brasil est· na m„o de um irrespons·vel lun·tico , que diante de 11 mil mortes por corona , continua a afirmar que n„o È necess·rio o isolamento(que se feito permitir· a que a curva n„o aumente ou seja menos pessoas morrer„o) ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9345;@jairbolsonaro;@andrefernm @jairbolsonaro Vem corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9347;@jairbolsonaro;@jairbolsonaro Nosso herÛis s„o os da linha de frente do Corona! S„o quase 12 mil Ûbitos do povo da naÁ„o que vc governa!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9348;@jairbolsonaro;@fmatos58103512 @guilhermeseal @jairbolsonaro Esse nome covid19 tr·s agÙro. Ent„o, covit, corona, xing-ling e por aÌ vai kkkk;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9351;@jairbolsonaro;@Metropoles @jairbolsonaro Se o corona pegasse gnt scn, vcs tinham q se esconder com a boca lacrada. üò§;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9354;@jairbolsonaro;@diluvioinfo @guilhermeseal @jairbolsonaro Aqui sÛ vai parar as mortes por corona quando acabar todo o dinheiro que se possa gastar sem licitaÁ„o,  a final nada mais mata no paÌs,  nem bala ! A corrupÁ„o tem esse dom ela cega.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9356;@jairbolsonaro;@paulopinho2006 @jairbolsonaro Capet„o Corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9362;@jairbolsonaro;@AlineQueirozDe2 @jairbolsonaro @Lenynha333 Eu n„o quero ver mortes por misÈria ou fome, ao contrario do seu partido que mata todos de corona, piada.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9366;@jairbolsonaro;@Leitadas_L0en @jairbolsonaro Bandido safado, usando de seu serviÁo e sua farda pra justificar seus crimes. Esse prefeito È outro desgraÁado baba ovo de presidente nazista. CadÍ esses bandido pegando Corona ?  Isso È revoltante;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9370;@jairbolsonaro;Parabenizar a postura do Sr. Ministro @TeichNelson , pela empatia e solidariade as vitimas do CORONAVIRUS, sejs familiares e servidores das atividades essenciais.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Enquanto isso o inutil e desumano do Pr do Brasil @jairbolsonaro segue andando de jet ski.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Q vergonha meu Deus.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9374;@jairbolsonaro;@senadorhumberto @jairbolsonaro Humberto sem vergonha diz que ele comemora. quem comemora È quem desgovernou este paÌs nÛs ˙ltimos anos e que matou toda est· gente por falta de leitos em todos hospitais e n„o È este n˙mero de dez mil do Corona olhe os out;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9376;@jairbolsonaro;@KeithSouza12 @GelainDaniel @StanleyViana3 @fl0ramarela @4l4nfs @ricardoruass @passinhos_ @jairbolsonaro O CORONAVIRUS È fichinha frente a esse virus da ignor‚ncia que afeta o rebanho bolsolavista.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9381;@jairbolsonaro;@Arisa72330704 @JhoneMarcosDaS1 @AraujoGisa @nandorbr @jairbolsonaro Tirando a vacina, o resto todo j· existes, inclusive a maior parte das mortes do corona È infarto cardÌaco, como acontece de repente È difÌcil tratar, isso em pessoas que j· tinha pre di;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9382;@jairbolsonaro;@brasileirofirst @jairbolsonaro Vamos fazer uma mÈdia b·sica de, digamos, 300 mortes por dia x 30 dias do mÍs = s„o 9mil mortes por mÍs. VocÍ sabe me dizer, em dias normais sem CORONAVIRUS, quantas pessoas morrem em mÈdia por mÍs no paÌs?!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9383;@jairbolsonaro;Olha aÌ ministro @TeichNelson  e @jairbolsonaro  vamos sair por cima desse coronavÌrus https://t.co/StAggN7fSj;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9386;@jairbolsonaro;@jairbolsonaro @minsaude @TeichNelson Duvido se È macho de divulgar exames do corona e gastos do cart„o de crÈdito ! Vai ! Mostra se È um homem ou um bosta !;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9389;@jairbolsonaro;"@joicehasselmann @ZDebby @jairbolsonaro Aina n„o vi sua indignaÁ„o com os desvio do $$ para o combate do coronavÌrus promovido pelo seus governadores ""cumpanheiros"".";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Quantas vidas o Doria; Wisol e companhia ceifaram??;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Parece q as falas do Bolso mata mais q a corrupÁ„o dos governadores.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9391;@jairbolsonaro;@Sfalsin1 @lauraglage @andrefernm @jairbolsonaro O 1¬∞ caso de corona sÛ foi confirmado apÛs o carnaval, gado demais credo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9392;@jairbolsonaro;@Astro_Pontes @mctic @jairbolsonaro @govbr @secomvc @casacivilbr @TVBrasil @Astro_Pontes quando os equipamentos de exames para coronavÌrus com inteligÍncia artificial estar„o prontos?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9393;@jairbolsonaro;@jairbolsonaro Infelizmente a Venezuela est· bem melhor, morrem muito menos por coronavÌrus l· do que aqui. E ainda est· sob embargo econÙmico dos EUA. As mortes aqui est„o em suas costas que n„o auxilia em fazer o isolamento social, ˙nico mecanismo efici;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9395;@jairbolsonaro;"@roberbezerra @lhdeutsch @beladanoit @CORALDERECIFE @matheuslguedes @jairbolsonaro Essa coisa de cada um cuida da sua vida n„o funciona agr, td bem vc quer sair e pegar corona pois q pegue mais eu n„o quero, eu quero sair na rua segura, quanto mais vc ""cu";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9397;@jairbolsonaro;@senadorhumberto @jairbolsonaro se esconde Dr·cula atraz da net.. tudo isso È zÛio gordo?? vontade de fazer e n„o poder sair as ruas... ?? n„o pelo corona mas por sua popularidade... ??? verme bandido...consegue sair com a famÌlia???;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9398;@jairbolsonaro;@RosemiraDos @jairbolsonaro Vcs idolatras sÛ conseguem ver oq o mito quer, e oq ele quer È q vcs pensem q o corona È uma forma de plantar um governo comunista no Brasil, sÛ q oq vc n sabe È q ele È mais do msm, se diz conservador mas È um comuna de verde ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9400;@jairbolsonaro;@JhoneMarcosDaS1 @leonel_ribeiro @DialRforRaiq @AraujoGisa @nandorbr @jairbolsonaro Acho errado toda hora o Brasileiro desrespeitar quem est· no poder porque n„o concorda com ele, est· certo ele n„o ser a melhor escolha do mundo, no momento precisamos nos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9404;@jairbolsonaro;@DialRforRaiq @JhoneMarcosDaS1 @leonel_ribeiro @AraujoGisa @nandorbr @jairbolsonaro Mortes v„o acontecer de qualquer jeito, porem alem das mortes pelo corona existem as mortes que vem por causa do isolamento, todas medidas em grande porte provoca mortes, ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9405;@jairbolsonaro;@HigorIsi @CarlaPola @allandospanos @jairbolsonaro sim, como ele È presidente ele tem responsabilidade sobre coisas como o coronavÌrus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9408;@jairbolsonaro;@Evandro45067089 @jairbolsonaro @CGUonline Vai pra rua querido, pega o corona e seja feliz!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9410;@jairbolsonaro;@CORALDERECIFE @matheuslguedes @jairbolsonaro Meu amigo morre gente todos anos antes mesmo do coronavÌrus o problema que fizeram alarde e politizaram o vÌrus ü¶†. Agora todo mundo È crÌtico !!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9411;@jairbolsonaro;@Pl101Nao @RobertoLuiz7 @jairbolsonaro @AMendoncaAGU @MPF_PGR @JusticaGovBR @luislacombereal O rabo È o do brasileiro que JB deu ao centr„o e no do coronavÌrus. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
A atribuiÁ„o de coordenaÁ„o e planejamento federal È da Uni„o. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fechamento desordenados e aumento doo caos na sa˙de  por culpa de Bolsonaro. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IncompetÍncia acima de tudo;" politicagem barata acima de todos.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9412;@jairbolsonaro;@Pranice @villela206 @jairbolsonaro A propÛsito sobre a ·gua sanit·ria, o Ìdolo do dono de vcs recomenda que bebam para evitar coronavÌrus... j· tomou seu outro hoje?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9413;@jairbolsonaro;@baiao_danilo @alu6card @jaymebss @Biakicis @paulocruzphi @jairbolsonaro @TeichNelson Se temos o corona team, temos tambÈm o gado team gritando muuuu.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9414;@jairbolsonaro;@celgngomes @jairbolsonaro Quem que paga mais? As funer·rias? As ˙nicas q lucram c a crise do CORONAVIRUS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9416;@jairbolsonaro;@p_avellar @freire_roberto @crisvela78 @GaudTorquato @jairbolsonaro Cada morte È uma tragÈdia, m·s a tragÈdia para vocÍs È sÛ o vÌrus chinÍs. Na verdade vocÍs est„o nem aÌ com as vidas, e sim È responsabilizar o presidente, fazendo sensacionalismo com as ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9420;@jairbolsonaro;@LenaDorfmam @MBLivre @jairbolsonaro Pra emprenÁa podre o bom È que a cada dia as mortes aumentem,,,porque eu tenho muito fÈ em Deus e que esse tanto de morte com certz se tiver acontecendo mesmo n„o È sÛ desse corona n„o, que dizer que as outras mortes e;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9421;@jairbolsonaro;@GregrioManoeld1 @xicograziano @Joseniakk @jairbolsonaro Disso eu sei, meu amigo. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TÙ dizendo que esperava isso porque foi o que falaram que ele iria fazer: uma ditadura.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Eu espero do Bolsonaro exatamente o que ele prometeu e est· cumprindo. Pra mim; atÈ o momento;" est· bom o governo dele e sÛ n„o est· melhor por causa do corona.""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9423;@jairbolsonaro;@joicehasselmann @jairbolsonaro deixem de ser hipÛcritas todo dia morre gente neste pais e nunca ninguÈm se preocupou com as est·tica de morte sÛ a do corona È mas importante agora,esse virus È milagroso ninguÈm morre mas de c‚ncer,pneumonia,AIDS,enfarto,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9424;@jairbolsonaro;@Obulhoes1 @annyrhpsdyx @jairbolsonaro V„o para rua pegar corona, v„o a pÈ e sem m·scara seus bostas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9426;@jairbolsonaro;@jairbolsonaro @Lenynha333 Presidente tem alguÈm investigando essas mortes por coronavÌrus, porque est· muito estranho a globo fica 24 horas jogando terror na populaÁ„o e ninguÈm faz nada!!!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9428;@jairbolsonaro;@stylesbullets @brunogagliasso @jairbolsonaro A oms alertou no final de janeiro todos sobre o coronavÌrus, carnaval foi no final de fevereiro, eu imagino atÈ como esse povo ia reagir se tivessem cancelado, e para de se fazer de maluca e fingir que n„o ent;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9429;@jairbolsonaro;@TeichNelson Kd a Dra Nise @jairbolsonaro .;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Como o senhor presidente troca um falso por um embuste?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Essa troca foi pÈssima. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O cara faz vÌdeo pra dizer como usa m·scara agora me vem com esse n˙mero fraudulento de mortes por coronaüò†;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"#ForaTeich""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9431;@jairbolsonaro;@jairbolsonaro Teu cu, filho da puta! Vai passear de jetski no mar de mais de 10 mil brasileiros mortos pelo coronavÌrus! Enquanto vc cruza os braÁos e sÛ defende sua famÌlia de bandidos;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9432;@jairbolsonaro;@jaarreaza @freddymeregote @jairbolsonaro O Corona nos esclareceu algumas coisas:;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1) … a classe trabalhadora que produz a riqueza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2) Pastor n„o cura porra nenhuma;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3) BOLSONARO È genocida;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4) Regina Duarte È MalÈvola e cria do Golpe 64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5) O Brasil n„o aguenta mais esse desgoverno fascista.  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"https://t.co/emHn17CsDf""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9433;@jairbolsonaro;Se tem alguÈm que sabe dar mau exemplo È ele: o Capit„o Corona @jairbolsonaro https://t.co/CCYw1HTCnd;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9434;@jairbolsonaro;@DrOliva4 @akauito @MaryahNina @jairbolsonaro PÈssimo argumento . Se eu como MC Donald's eu mato sÛ a mim, se tenho corona e sou assintom·tico saio disseminando o vÌrus, mÈdico formado em greys anatomy.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9435;@jairbolsonaro;@jairbolsonaro se mata, vc È  o maior mau no momento,,puor que o CORONA  me desculpe mas vc esta doido  https://t.co/NF6479mMih liga sai agora .chega.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9436;@jairbolsonaro;@IagoHen52255189 @DiegoCalazans89 @matheuslguedes @jairbolsonaro Falando sÈrio agora, existem meios de comunicaÁ„o muito melhores que twitter.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"VocÍ falou sobre """"o que eu vejo"""""; vis„o limitada de mundo; se ocorrer alguma fatalidade de corona prÛximo a vocÍ (que eu espero com todas as forÁas que n„o aconteÁa); vocÍ vai entender;" infelizmente""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9438;@jairbolsonaro;@jairbolsonaro @minsaude @TeichNelson DEM…NIO ESCROTO IMUNDO #ForaBolÂçêonaro #ForaBolsonaroUrgente #forabozo #forabolsonaro VELHO CAPETA VELHO DOENTE ENFIA O CORONA DENTRO DO SEU C  üî•üî•üî•üî•üî•üî•üî• https://t.co/2B3ugZAVcc;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9439;@jairbolsonaro;@jairbolsonaro @minsaude @TeichNelson VEM PEGAR CORONA VELHO IMUNDO;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9440;@jairbolsonaro;@RobertoLuiz7 @jairbolsonaro @AMendoncaAGU @MPF_PGR @JusticaGovBR @luislacombereal Esse caos È culpa de Bolsonaro que irresponsavelmente se furtou de adotar as medidas para coordenaÁ„o e planejamento federal contra o coronavÌrus. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Politicagem barata e incompetÍncia acima de tudo !""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9441;@jairbolsonaro;@alu6card @jaymebss @Beluzzao @Biakicis @paulocruzphi @jairbolsonaro @TeichNelson Esse eh Corona Team, deve gritar Lula livre tambÈm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9442;@jairbolsonaro;@Ree_Lucci @ElisaChveidel @Bolsoneas @jairbolsonaro VocÍ est· certa tudo bem, China n„o perseguiu mÈdicos que queriam avisar sobre o corona, esquerda È incrÌvel.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9443;@jairbolsonaro;@jairbolsonaro capit„o pelo amor de Deus a coisa agora mais importante do q o corona È atitude de toda as forÁas armadas contra essa humilhaÁ„o q o STF fez acho uma afronta e se vcs n„o agirem eles n„o v„o parar pode ter certeza;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9446;@jairbolsonaro;@CarvalhoEuziene @brunogagliasso @jairbolsonaro O corona nem tava no brasil ainda, tirando o fato que esse È trabalho do PRESIDENTE, nao de ator.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9448;@jairbolsonaro;@senadorhumberto @jairbolsonaro Inveja È pior que o corona....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Trabalhe mais e critique menos....;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Viva BOlSONARO.;"....""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9450;@jairbolsonaro;@jairbolsonaro @CGUonline O modo de pensar das pessoas sobre o corona È uma neurose e n„o o vÌrus em si. A populaÁ„o n„o sabe interpretar as palavras do nosso presidente.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9451;@jairbolsonaro;@jairbolsonaro AÌ l· vai a ladainha do se matem. Contraia o Corona e disseminem por aÌ. A casos e casos da PM. Porque n„o opinou sobre a reintegraÁ„o que fizeram ? Pra onde v„o as famÌlias ? Todos os paÌses est„o apoiando seu povo. #FiqueEmCasa . AÌ vem o;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9452;@jairbolsonaro;@jairbolsonaro VocÍ È um merda! Nem solidariedade a 10.000 mortos por coronavÌrus! Aliado do centr„o! Bolsonaro lixo!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9453;@jairbolsonaro;@firmino_filho que dizer que se eu entrar no mercado para comprar arroz eu n„o pego corona, mas se eu comprar uma camiseta eu vou adoecer? Gente o Brasil est· virando o quÍ? AlÙ @STF_oficial @jairbolsonaro @MPF_PGR ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Tem gente enloquecendo!!!! https://t.co/yOa25VhM4J""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9454;@jairbolsonaro;@010047a @AraujoGisa @nandorbr @jairbolsonaro O que acho grave È com todo esse problema de sa˙de, impressa esteja focada em inflar o problema causar, panico, os ministros estejam divididos, e o foco do politico seja o Bolsonaro e n„o o corona, se querem c;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9456;@jairbolsonaro;@jairbolsonaro Ele passeia pq ele pode esta com inveja?Ele n„o tem que cuidar de coronavÌrus lembra foi St q disse .Ele sÛ paga as contas pros Governadores safafos superfaturar e roubar üòò;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9460;@jairbolsonaro;A treta agora È o @jairbolsonaro andar de jet ski quando o Brasil tem mais de 10 mil mortes pelo corona, esses mesmo que criticam, ser· que criticam o que os governadores est„o fazendo, lÛgico que n„o, a lacraÁ„o est· em denigrir o presidente... Cambada de hipÛcritas.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9463;@jairbolsonaro;@jairbolsonaro Que dia vou acordar e ler as notÌcias O CORONA ACABOU E O BIROLIRO N√O … MAIS O PRESIDENTE DO BRASIL .. ESPERO ANSIOSAMENTE ESSE DIA CHEGAR ! ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"NOJO DO SENHOR E DE SEUS ALIENADOS ..""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9467;@jairbolsonaro;@dangerousxs @jairbolsonaro me bloqueia tambÈm velho arrombado que trouxe o Corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9469;@jairbolsonaro;@arthurmoledoval @jairbolsonaro Para de mimimi ridÌculo!!!! Seu discurso j· t· chato. Vai processar a China por conta bta do corona, ou vai encher o saco dos outros e paga o que vc deve das aÁıes que perdeu na justiÁa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9471;@jairbolsonaro;@jairbolsonaro Bom dia presidente, j· terminou o passeio de jet ski? Est· pronto pra conversar com quem faz alguma coisa? J· decidiu quanto do Queiroz vai doar pro corona?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9475;@jairbolsonaro;@RubensNunesMBL Ain, @jairbolsonaro est· gastando dinheiro para pagar contas do Pal·cio do Planalto, n„o pode!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
O que pode È governadorzinho tiranete 'corona playboy' gastar as tuias sem licitaÁ„o;" prefeitos mandarem agredir e prender pessoas e a imprensa militante de redaÁ„o apoiar essa ditadura""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9476;@jairbolsonaro;@Tdhony2 @_oianiram @jairbolsonaro Onde vocÍs acharam que o corona n„o afetaria o Brasil afetou grandes naÁıes o famoso primeiro mundo,que tem um sistema de sa˙de e educaÁ„o equilibrado,aqui no Brasil vocÍ pode falar fica em casa que ser· a mesma coisa qu;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9477;@jairbolsonaro;@alefrota77 @jairbolsonaro @kimpkat @lobaoeletrico @joicehasselmann @nereucrispim Cleiton e os gado sao o que bando de animal que bate em enfermeiros agride jornalista vcs s„o o que um bando de assassi os tbm pq intimidado nossos herÛis vc est„o assassina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9479;@jairbolsonaro;@jairbolsonaro @minsaude @TeichNelson Min sa˙de e Capet„o corona = fake;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9481;@jairbolsonaro;@secomvc @jairbolsonaro Mais fake do Capet„o corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9482;@jairbolsonaro;@jairbolsonaro Mais uma fake do Capet„o corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9483;@jairbolsonaro;@jairbolsonaro 10 MIL MORTOS PELO CORONA.  AT… NADA DE MORTES POR FOME. AT… MENDIGO EST¡Å RECEBENDO 600 REAIS. VOC  N√O QUER PAGAR POR ISSO EST¡Å MANDANDO O POVO PRA MORTE, SEU VERME. SEU C…REBRO EST¡Å INFECTADO! … MELHOR ESPERAR MAIS UNS DIAS DO QUE EM 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9484;@jairbolsonaro;@jairbolsonaro Com Manaus praticamente virando um novo epicentro do corona tu quer q faÁam oq?? Aglomere todo mundo em shoppings e feiras?? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bom;" talvez seja nÈ quanto mais gente morta menos dinheiro gasto e mais dinheiro pra polÌtico furtar""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
