;usuario;texto;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;@jairbolsonaro;@jairbolsonaro FILHO DA PUTA DO CARALHO RACISTA HOMOF”BICO IMUNDO, que o CORONAVIRUS ache vocÍ antes que outra pessoa tenha q ir presa por tentar salvar o brasil te dando uma facada seu bosta;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;@jairbolsonaro;@jairbolsonaro O POVO BRASILEIRO EST¡Å NAS FAVELAS, MORRENDO DE CORONA OU DE BALA PERDIDA! VEM PRA C¡Å, FILHO DA PUTA!!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;@jairbolsonaro;"@jairbolsonaro Uma grande parte do ""teu povo' est· morrendo  decorrÍncia do coronavÌrus, n„o È uma praga nem nada, mas eu espero que vocÍ esteja onde esse esse ""seu povo"" estiver. Repetindo novamente: n„o È uma praga. ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"KkKKKKK erax""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;@jairbolsonaro;@jairbolsonaro se morrer tu e metade aÌ pelo corona, falta de aviso n„o foi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;@jairbolsonaro;@jairbolsonaro corona, faÁa o trabalho que a facada n„o fez;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;@jairbolsonaro;@jairbolsonaro vai pro hran e fica na ala dos q tem corona pfv so p eu testa uma coisa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;@jairbolsonaro;@jairbolsonaro corona faÁa o que for preciso üôèüôèüôèüôèüôè;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;@jairbolsonaro;@jairbolsonaro coronavÌrus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;@jairbolsonaro;@jairbolsonaro coronavÌrus,  faÁa sua parte por favor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;@jairbolsonaro;@jairbolsonaro APROVEITA E PEGA O CORONA E FICA EM UM HOSPITAL P⁄BLICO ESPERANDO POR UM RESPIRADOR AT… MORRER SEU NOJENTO ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"desculpa harry styles mas n„o da pra tratar esse tipo de pessoa com gentileza""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;@jairbolsonaro;@jairbolsonaro S„o mais de 28 mil mortes pelo coronavÌrus no Brasil, a polÌcia matando nos negros TODOS OS DIAS e o cara preocupado em  juntar o gado desse jeito.  Vai a merda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;@jairbolsonaro;@jairbolsonaro corona j· pode fazer o seu trabalho e eliminar esse chupa pau do trump do mundo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;@jairbolsonaro;@jairbolsonaro e o corona ainda n„o pegou esse corno?;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;@jairbolsonaro;@jairbolsonaro coronavÌrus faÁa sua parte;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;@jairbolsonaro;@jairbolsonaro NAO ACREDITO Q O CORONAVIRUS SO NAO PEGA NESSE CARA.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;@jairbolsonaro;@jairbolsonaro Corona, faÁa o que for preciso.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;@jairbolsonaro;@jairbolsonaro fica em casa fdp, espero q pegue corona;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;@jairbolsonaro;@jluizcandidosil @CarlaZambelli38 @jairbolsonaro ESQUERDOPATA … DOEN«A INCUR¡VEL MATA MAIS QUE O CORONAVÕRUS … CORRUPTA E HOMICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;@jairbolsonaro;@jairbolsonaro No cemitÈrio. T· todo mundo morrendo por sua culpa, seu energ˙meno irrespons·vel!!!! O coronavÌrus t· matando o povo brasileiro e vocÍ n„o faz NADA alÈm de piorar tudo;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;@jairbolsonaro;@OzeiasSouza19 @CarlaZambelli38 @Francis39831693 @jairbolsonaro ESQUERDOPATA … DOEN«A INCUR¡VEL MATA MAIS QUE O CORONAVÕRUS … CORRUPTA E HOMICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;@jairbolsonaro;@jairbolsonaro Corona eu entrego em suas m„os https://t.co/cVyDAbN4Cp;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;@jairbolsonaro;@szcoly @jairbolsonaro tomara q esse bosta pegue  CORONAVIRUS e morra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;@jairbolsonaro;@jairbolsonaro corona, faÁa oque for preciso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;@jairbolsonaro;@OzeiasSouza19 @CarlaZambelli38 @Francis39831693 @jairbolsonaro ESQUERDOPATA … DOEN«A INCUR¡VEL MATA MAIS QUE O CORONAVÕRUS … CORRUPTA E HOMICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
68;@jairbolsonaro;@OzeiasSouza19 @CarlaZambelli38 @Francis39831693 @jairbolsonaro ESQUERDOPATA … DOEN«A INCUR¡VEL MATA MAIS QUE O CORONAVÕRUS … CORRUPTA E HOMICIDA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;@jairbolsonaro;@jairbolsonaro tomara que morra de corona!;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
71;@jairbolsonaro;Gente, eu amo de vdd as manifestaÁıes q vcs fazem tanto aqui quanto nos Estados Unidos, mas... e o corona / Covid19 j· se esqueceram? ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
#CNNLixo  @jairbolsonaro ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"#protestos""";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
