,usuario,texto;;
"262,@felipeneto,""@corona_vairuss @CallMeThaz_ @DiVasca @felipeneto mulatos que vem de mula pardo branco sujo,crioulo etcTodos esses nomes significam que eles eram identificados como brancos â€œilegÃ­timosâ€.O Brasil é o maior país negro fora da Ãfrica,54% do povo brasileira é negro,mas desses apenas9% se declaram negros e outros45% dizem ser pardos.""";;
"275,@felipeneto,""@corona_vairuss @CallMeThaz_ @DiVasca @felipeneto Além disso eu também sou negro, sei bem o q estou falando aqui. Procure o termo no dicionario e vai achar justamente o que eu falei. NEGAR ISSO É SER RACISTA TAMBÉM""";;
"278,@felipeneto,""@corona_vairuss @CallMeThaz_ @DiVasca @felipeneto Amigo, estudo racismo a muitos anos, se você pesquisar no dicionario a palavra pardo é isso q vai encontrar Sei o que estou falando, o termo pardo foi criado pelos portugueses para aproximar um tom negro mais claro com o branco para não ter q se referir a negros diretamente""";;
"318,@felipeneto,""@felipeneto Ele é o 38° presidente do país e nenhum dos outros 37 fez algo que fizesse o Brasil ser potência!!!";;
Então para com esse retardo absurdo poha.. ;;
"Se ele sair, acaba o corona ?? Acaba o problema na economia? Na educação? Na segurança??? Para de ser babaca""";;
321,@felipeneto,@felipeneto Ele não tem reconhecimento por causa do corona;;
"342,@felipeneto,""@felipeneto Krlh  A ALEGRIA SERIA INEXPLICAVEL!!! ";;
"PASSAREMOS POR ISSO DUAS VEZES, CORONA E ESSES CARA SAINDO,, SE DEUS QUISEER!!!ğŸ™ğŸ»""";;
344,@felipeneto,@felipeneto É porque o ser humano só penssa e desgraça.Exemplos:setirar o bolsonaro e o corona viros do jornal nacional ia nem ter o programa;;
350,@felipeneto,@ibraimo_lazaro @felipeneto A gente tá falando de corona o tempo todo!!! Que tal uma folga hj?;;
"354,@felipeneto,""@felipeneto KKKKKKKKKKKK acabou oque ? Brasil vinha retomando empregos , crescendo no PIB , bolsa em recorde , índices caindo 20% de homicí­dios e roubos ! HISTÃ“RICOS ! EUA nem se fala batendo todas marcas de emprego , ''PAZ'' com a KN histórica ! Oque lascou foi o corona !""";;
"375,@felipeneto,""@felipeneto Imagina A Visão Do Nosso país Lá Fora,Já Começa Pelo Presidente,Como Nós Estamos Lidado Com O Corona vírus,Ainda Tem Uma Live De Mais De 8 Hrs Um Cara Fazendo Merda,E Pra Acabar Mesmo Com O Moral,O Brasileiro Precisa Ser Estudado E Muita Estupidez""";;
"401,@felipeneto,""@felipeneto Meu amigo. No dia que a gente se livrar de Bolsonaro e da ameaça do Corona vírus, Brasil tem obrigação de liberar carnaval por 6 meses!!!! #vaiseraliviodemais""";;
"405,@felipeneto,""@felipeneto Seria bom se eles perdessem pro corona, seria um lindo dia de sol https://t.co/593H38eFr8""";;
"414,@felipeneto,""@cibelyreal @_raphaelus_ @felipeneto ele não quis dizer q o corona não existe ou q as morte n pode chegar a 1M, creio eu q ele quis mais dizer q n há como confiar em previsões. O jornalista ai não é vidente, fez uma """"previsão"""" q obviamente não está certa...""";;
"418,@felipeneto,""@felipeneto COM O CORONA VÍRUS SOLTO, AS COISAS ESTÃO DIFÃCIL AQUI EM CASA O MEU SONHO É DAR UM FUTURO MELHOR PRA MINHA FAMÃLIA, TÃ” COM ESSE CANAL PRA PODER REALIZAR ESSE MEU SONHO. PODE ME AJUDAR SE INSCREVENDO NO CANAL. AGRADEÃ‡O ";;
"https://t.co/7kGLMgffzD""";;
425,@felipeneto,@rbrzed @felipeneto acho q o universo foi muito injusto quando preferiu dar uma chance pro corona ao invés desta OBRA de ARTE;;
"431,@felipeneto,""@felipeneto HAHAHAHA eu só quero saber oque acontece com as 1.000 e não sei quantas mortes fantasmas apareceram no Rio, sendo que não foram com corona ğŸ¤¡""";;
449,@felipeneto,@felipeneto @gugachacra Levando o corona pra passear no espaço! https://t.co/EkLCT2eygt;;
455,@felipeneto,@felipeneto Tem que acabar é o corona!!!!;;
467,@felipeneto,@Vicenty_ @felipeneto corona ofuscou o sucesso desse filme;;
