Source,Target,Type,Weight
287,25895,Directed,1
288,25896,Directed,1
289,25897,Directed,1
290,25898,Directed,1
291,25899,Directed,1
292,25900,Directed,1
293,25901,Directed,1
294,25902,Directed,1
295,25903,Directed,1
296,25904,Directed,1
297,25905,Directed,1
298,25906,Directed,1
299,25907,Directed,1
300,25908,Directed,1
301,25909,Directed,1
302,25844,Directed,1
303,25910,Directed,1
304,25911,Directed,1
305,25891,Directed,1
306,25912,Directed,1
307,25913,Directed,1
308,25914,Directed,1
309,25915,Directed,1
310,25916,Directed,1
311,25917,Directed,1
312,25918,Directed,1
313,25919,Directed,1
314,25920,Directed,1
315,25921,Directed,1
316,25922,Directed,1
317,25923,Directed,1
318,25924,Directed,1
319,25925,Directed,1
320,25926,Directed,1
321,25927,Directed,1
322,25928,Directed,1
323,25929,Directed,1
324,25673,Directed,1
325,25930,Directed,1
326,25931,Directed,1
327,25932,Directed,1
328,25933,Directed,1
329,25649,Directed,1
330,25934,Directed,1
331,25935,Directed,1
332,25936,Directed,1
333,25937,Directed,1
334,25938,Directed,1
335,25939,Directed,1
336,25940,Directed,1
337,25649,Directed,1
338,25893,Directed,1
339,25941,Directed,1
340,25942,Directed,1
341,25768,Directed,1
342,25943,Directed,1
343,25944,Directed,1
344,25945,Directed,1
345,25946,Directed,1
346,25947,Directed,1
347,25948,Directed,1
348,25949,Directed,1
349,25950,Directed,1
350,25951,Directed,1
351,25952,Directed,1
352,25953,Directed,1
353,25719,Directed,1
354,25954,Directed,1
355,25955,Directed,1
356,25956,Directed,1
357,25649,Directed,1
358,25957,Directed,1
359,25958,Directed,1
360,25959,Directed,1
361,25960,Directed,1
362,25961,Directed,1
363,25962,Directed,1
364,25963,Directed,1
365,25964,Directed,1
141,25965,Directed,1
366,25966,Directed,1
367,25967,Directed,1
368,25968,Directed,1
369,25969,Directed,1
370,25970,Directed,1
371,25971,Directed,1
372,25972,Directed,1
373,25973,Directed,1
374,25974,Directed,1
375,25975,Directed,1
376,25976,Directed,1
377,25977,Directed,1
378,25978,Directed,1
379,25649,Directed,1
380,25979,Directed,1
381,25980,Directed,1
382,25981,Directed,1
383,25982,Directed,1
384,25983,Directed,1
385,25984,Directed,1
386,25985,Directed,1
387,25986,Directed,1
388,25798,Directed,1
389,25987,Directed,1
390,25988,Directed,1
391,25989,Directed,1
392,25990,Directed,1
393,25991,Directed,1
394,25992,Directed,1
395,25993,Directed,1
396,25868,Directed,1
397,25994,Directed,1
398,25995,Directed,1
399,25996,Directed,1
333,25997,Directed,1
400,25998,Directed,1
401,25719,Directed,1
402,25999,Directed,1
403,26000,Directed,1
404,26001,Directed,1
405,26002,Directed,1
406,26003,Directed,1
407,26004,Directed,1
408,26005,Directed,1
409,26006,Directed,1
410,26007,Directed,1
411,26008,Directed,1
412,26009,Directed,1
413,26010,Directed,1
414,26011,Directed,1
415,26012,Directed,1
416,26013,Directed,1
417,26014,Directed,1
418,26015,Directed,1
419,26016,Directed,1
420,26017,Directed,1
421,26018,Directed,1
422,26019,Directed,1
423,25868,Directed,1
424,25868,Directed,1
425,26020,Directed,1
426,26021,Directed,1
427,26022,Directed,1
428,26023,Directed,1
429,26024,Directed,1
430,26025,Directed,1
431,26026,Directed,1
432,26027,Directed,1
433,26028,Directed,1
434,25777,Directed,1
435,26029,Directed,1
436,26030,Directed,1
18,25771,Directed,1
437,26031,Directed,1
438,25777,Directed,1
439,26032,Directed,1
440,26033,Directed,1
441,26034,Directed,1
442,26035,Directed,1
443,26036,Directed,1
444,25738,Directed,1
445,26037,Directed,1
446,26038,Directed,1
447,25635,Directed,1
448,26039,Directed,1
449,26040,Directed,1
