,usuario,texto;;;;;;;;
"1170,@JornalOGlobo,""@MeiliLuiz @ForaBol13969590 @JornalOGlobo Infelizmente a gente n„o pode fazer muito por causa do Coronavirus,pq se n„o tivesse o corona as coisas estariam bem mais feias para os bolsobostas""";;;;;;;;
1182,@JornalOGlobo,@JornalOGlobo Por acaso ' Corona ' È o seu sobrenome.;;;;;;;;
1183,@JornalOGlobo,@JornalOGlobo O CORONAVIRUS ja mandou vcs pra pqp?;;;;;;;;
1190,@JornalOGlobo,@JornalOGlobo O sobrenome do fdp fascista È CORONA.;;;;;;;;
"1191,@JornalOGlobo,""@JornalOGlobo Academias do Corona s„o serviÁos essenciais diz Bolsonaro em decreto.. Corona financiador de Fake News, agora entendemos o motivo de reabrir academias.""";;;;;;;;
1216,@JornalOGlobo,@JornalOGlobo coronavÌrus racista;;;;;;;;
1217,@JornalOGlobo,@JornalOGlobo o nome do savana È Edgar Corona. o sujeito j· carrega o virus no nome. agora vÍ se um capoeirista faria uma falcatrua dessas. essa smartfit È um horror;;;;;;;;
1219,@JornalOGlobo,@JornalOGlobo O sobrenome do cara È 'Corona' (????????);;;;;;;;
1220,@JornalOGlobo,@JornalOGlobo Bolsonaro trocou o coronavÌrus pelo Edgar Corona. Talvez um pouco de cloroquina resolva o problema agora.;;;;;;;;
"1232,@JornalOGlobo,""@JornalOGlobo Vc pega dados e faz oq quiser com eles. Com estes mesmos dados vc pode apontar q coronavÌrus mata mais os ricos.";;;;;;;;
;;;;;;;;
Infelizmente os estudos s„o sempre ideolÛgicos.;;;;;;;;
;;;;;;;;
"universidades + mÌdias = mimimi""";;;;;;;;
"1245,@JornalOGlobo,""@JornalOGlobo @CCambara2 Edgard Corona, nome de predestinado para o @jose_simao !""";;;;;;;;
1250,@JornalOGlobo,@JornalOGlobo Quase 26 mil mortes. … um descaso total com o povo brasileiro. Que governo È esse? O Presidente È incapaz de fazer um pronunciamento ou de tentar minimizar os impactos do coronavÌrus.;;;;;;;;
"1251,@JornalOGlobo,""@JornalOGlobo maldito corona, supremacista branco""";;;;;;;;
1255,@JornalOGlobo,@JornalOGlobo Kkkkk Corona È um vÌrus preconceituoso;;;;;;;;
