Source,Target,Type,Weight
223,29009,Directed,1
224,5813,Directed,1
225,29010,Directed,1
224,29011,Directed,1
224,5813,Directed,1
226,28881,Directed,1
227,29012,Directed,1
228,29013,Directed,1
229,29014,Directed,1
230,29009,Directed,1
231,29015,Directed,1
123,29016,Directed,1
232,29017,Directed,1
233,29002,Directed,1
234,348,Directed,1
17,489,Directed,1
235,29018,Directed,1
236,29019,Directed,1
237,29020,Directed,1
238,701,Directed,1
239,29021,Directed,1
240,29022,Directed,1
241,13260,Directed,1
242,29023,Directed,1
243,29024,Directed,1
244,29025,Directed,1
78,28870,Directed,1
245,14805,Directed,1
246,29026,Directed,1
247,29027,Directed,1
248,29028,Directed,1
249,29029,Directed,1
250,6241,Directed,1
250,29030,Directed,1
251,29031,Directed,1
251,29032,Directed,1
252,29033,Directed,1
253,29034,Directed,1
254,29035,Directed,1
255,29036,Directed,1
256,29037,Directed,1
257,29038,Directed,1
258,29039,Directed,1
160,29040,Directed,1
259,29041,Directed,1
260,29042,Directed,1
261,29043,Directed,1
262,29044,Directed,1
263,29045,Directed,1
264,29046,Directed,1
265,29047,Directed,1
266,29048,Directed,1
267,29049,Directed,1
268,29050,Directed,1
269,29051,Directed,1
269,29052,Directed,1
270,29053,Directed,1
271,29054,Directed,1
272,5459,Directed,1
273,29055,Directed,1
274,29056,Directed,1
275,29057,Directed,1
276,8411,Directed,1
277,26151,Directed,1
278,28859,Directed,1
279,29058,Directed,1
280,29059,Directed,1
281,29060,Directed,1
121,29002,Directed,1
207,29061,Directed,1
203,29061,Directed,1
282,29062,Directed,1
283,29063,Directed,1
284,29064,Directed,1
285,29065,Directed,1
286,29066,Directed,1
287,29067,Directed,1
288,29067,Directed,1
289,29068,Directed,1
290,29069,Directed,1
291,29070,Directed,1
292,29071,Directed,1
293,29072,Directed,1
294,29073,Directed,1
294,29074,Directed,1
295,29074,Directed,1
296,29075,Directed,1
297,29076,Directed,1
297,29077,Directed,1
298,29078,Directed,1
279,28898,Directed,1
274,29079,Directed,1
274,29056,Directed,1
297,29080,Directed,1
299,29081,Directed,1
300,29082,Directed,1
301,25883,Directed,1
302,29083,Directed,1
303,29084,Directed,1
304,29085,Directed,1
305,29086,Directed,1
305,2557,Directed,1
297,29087,Directed,1
306,29088,Directed,1
306,29089,Directed,1
307,308,Directed,1
207,29090,Directed,1
207,207,Directed,1
308,307,Directed,1
308,308,Directed,1
309,29091,Directed,1
310,7240,Directed,1
307,308,Directed,1
311,29092,Directed,1
312,29093,Directed,1
313,29094,Directed,1
314,29095,Directed,1
314,29096,Directed,1
315,29097,Directed,1
316,29098,Directed,1
317,29099,Directed,1
317,29100,Directed,1
318,29100,Directed,1
319,29101,Directed,1
319,29102,Directed,1
320,5363,Directed,1
321,29103,Directed,1
322,29104,Directed,1
323,29105,Directed,1
323,29106,Directed,1
324,29107,Directed,1
325,29108,Directed,1
326,29109,Directed,1
327,29110,Directed,1
6,29111,Directed,1
328,29112,Directed,1
329,6655,Directed,1
330,28881,Directed,1
330,29113,Directed,1
330,29021,Directed,1
331,29114,Directed,1
332,3229,Directed,1
333,29115,Directed,1
334,29116,Directed,1
335,29117,Directed,1
336,29118,Directed,1
337,29119,Directed,1
338,29120,Directed,1
339,29121,Directed,1
340,29117,Directed,1
341,29117,Directed,1
342,16767,Directed,1
342,16767,Directed,1
343,29122,Directed,1
344,29123,Directed,1
344,29124,Directed,1
172,18927,Directed,1
345,29125,Directed,1
346,322,Directed,1
347,29126,Directed,1
348,29117,Directed,1
349,29127,Directed,1
350,2444,Directed,1
350,29128,Directed,1
351,18927,Directed,1
352,29129,Directed,1
353,29130,Directed,1
354,29131,Directed,1
355,29132,Directed,1
356,29133,Directed,1
357,29134,Directed,1
358,6597,Directed,1
283,29135,Directed,1
203,29136,Directed,1
320,29137,Directed,1
359,29138,Directed,1
360,29139,Directed,1
361,29140,Directed,1
362,29141,Directed,1
363,439,Directed,1
364,29142,Directed,1
365,29143,Directed,1
366,29144,Directed,1
367,29145,Directed,1
368,29146,Directed,1
369,16084,Directed,1
370,29147,Directed,1
371,29148,Directed,1
372,29149,Directed,1
373,374,Directed,1
374,373,Directed,1
375,29150,Directed,1
376,29151,Directed,1
377,29152,Directed,1
378,29094,Directed,1
379,29153,Directed,1
213,379,Directed,1
380,29154,Directed,1
381,29154,Directed,1
382,29155,Directed,1
383,29156,Directed,1
384,29157,Directed,1
385,29158,Directed,1
386,29141,Directed,1
387,29141,Directed,1
388,9824,Directed,1
389,29159,Directed,1
287,29160,Directed,1
287,29160,Directed,1
390,29161,Directed,1
391,29162,Directed,1
392,29163,Directed,1
393,29163,Directed,1
394,29164,Directed,1
394,29165,Directed,1
394,29166,Directed,1
394,29167,Directed,1
394,394,Directed,1
394,29166,Directed,1
394,29168,Directed,1
395,29169,Directed,1
326,29141,Directed,1
396,29141,Directed,1
397,29170,Directed,1
398,29171,Directed,1
399,29172,Directed,1
399,544,Directed,1
400,29173,Directed,1
401,29174,Directed,1
401,29175,Directed,1
402,29176,Directed,1
155,29177,Directed,1
403,29178,Directed,1
404,29179,Directed,1
405,2237,Directed,1
369,29180,Directed,1
406,29181,Directed,1
407,29182,Directed,1
61,29183,Directed,1
408,29184,Directed,1
409,29185,Directed,1
409,29186,Directed,1
409,29187,Directed,1
409,29188,Directed,1
410,411,Directed,1
410,29187,Directed,1
410,29188,Directed,1
411,29187,Directed,1
411,29188,Directed,1
412,29189,Directed,1
413,544,Directed,1
414,29190,Directed,1
150,29191,Directed,1
415,29192,Directed,1
416,29193,Directed,1
416,29194,Directed,1
416,29193,Directed,1
72,28882,Directed,1
417,29195,Directed,1
417,6885,Directed,1
417,29196,Directed,1
418,9954,Directed,1
419,29197,Directed,1
420,28869,Directed,1
421,29198,Directed,1
422,29199,Directed,1
423,29200,Directed,1
424,29201,Directed,1
425,29202,Directed,1
426,29203,Directed,1
207,29204,Directed,1
172,29205,Directed,1
427,27853,Directed,1
428,29206,Directed,1
429,29207,Directed,1
430,29208,Directed,1
431,10548,Directed,1
432,6800,Directed,1
433,29209,Directed,1
434,29210,Directed,1
435,29194,Directed,1
436,438,Directed,1
437,438,Directed,1
437,437,Directed,1
438,437,Directed,1
439,363,Directed,1
363,439,Directed,1
440,29211,Directed,1
440,29212,Directed,1
172,18927,Directed,1
438,29213,Directed,1
438,438,Directed,1
441,29214,Directed,1
442,29215,Directed,1
443,29216,Directed,1
443,29217,Directed,1
444,29217,Directed,1
445,28957,Directed,1
165,28957,Directed,1
167,28957,Directed,1
166,28957,Directed,1
446,28808,Directed,1
447,29218,Directed,1
448,29219,Directed,1
449,29220,Directed,1
450,3990,Directed,1
450,29221,Directed,1
451,29222,Directed,1
452,29223,Directed,1
453,458,Directed,1
454,29224,Directed,1
455,29225,Directed,1
353,28666,Directed,1
353,29226,Directed,1
455,29227,Directed,1
456,28830,Directed,1
457,29228,Directed,1
458,29229,Directed,1
459,1271,Directed,1
460,12274,Directed,1
461,29230,Directed,1
461,29231,Directed,1
461,29232,Directed,1
462,29233,Directed,1
463,29234,Directed,1
463,29235,Directed,1
464,29235,Directed,1
465,29236,Directed,1
466,29237,Directed,1
467,29141,Directed,1
468,7072,Directed,1
455,29227,Directed,1
469,29238,Directed,1
470,29232,Directed,1
471,29239,Directed,1
472,29021,Directed,1
473,29240,Directed,1
474,29241,Directed,1
475,29242,Directed,1
476,29141,Directed,1
477,29243,Directed,1
478,28820,Directed,1
478,479,Directed,1
479,28820,Directed,1
480,29244,Directed,1
481,1934,Directed,1
482,1934,Directed,1
483,29245,Directed,1
484,22624,Directed,1
485,29246,Directed,1
486,29247,Directed,1
487,29248,Directed,1
488,29249,Directed,1
488,29250,Directed,1
489,17,Directed,1
490,870,Directed,1
491,29251,Directed,1
492,29252,Directed,1
493,29253,Directed,1
494,29254,Directed,1
495,496,Directed,1
496,495,Directed,1
497,29255,Directed,1
498,29256,Directed,1
498,23670,Directed,1
97,28898,Directed,1
499,28870,Directed,1
500,29257,Directed,1
501,29258,Directed,1
502,29259,Directed,1
503,29260,Directed,1
266,29261,Directed,1
504,29217,Directed,1
505,29262,Directed,1
384,4329,Directed,1
240,29263,Directed,1
506,29264,Directed,1
507,29265,Directed,1
508,1139,Directed,1
509,29266,Directed,1
510,29267,Directed,1
511,29268,Directed,1
512,28870,Directed,1
287,29269,Directed,1
513,29270,Directed,1
514,29271,Directed,1
515,29272,Directed,1
72,29269,Directed,1
516,29273,Directed,1
517,29274,Directed,1
518,29275,Directed,1
519,29276,Directed,1
520,29256,Directed,1
520,23670,Directed,1
521,29277,Directed,1
522,23670,Directed,1
523,29278,Directed,1
524,29279,Directed,1
524,29278,Directed,1
524,29280,Directed,1
524,525,Directed,1
525,29280,Directed,1
525,525,Directed,1
526,29281,Directed,1
519,29276,Directed,1
527,29282,Directed,1
528,4995,Directed,1
529,11118,Directed,1
530,29283,Directed,1
531,29284,Directed,1
532,29285,Directed,1
362,29141,Directed,1
533,29286,Directed,1
275,29287,Directed,1
534,29288,Directed,1
535,29289,Directed,1
487,29105,Directed,1
536,29290,Directed,1
537,29291,Directed,1
538,29292,Directed,1
539,29293,Directed,1
540,29294,Directed,1
541,29295,Directed,1
542,29296,Directed,1
543,7259,Directed,1
544,29297,Directed,1
545,29298,Directed,1
546,26151,Directed,1
547,29299,Directed,1
548,29300,Directed,1
549,29301,Directed,1
550,29302,Directed,1
551,29303,Directed,1
552,29304,Directed,1
552,552,Directed,1
553,29305,Directed,1
553,29105,Directed,1
554,3051,Directed,1
555,29304,Directed,1
555,555,Directed,1
556,29306,Directed,1
557,29307,Directed,1
558,29308,Directed,1
559,29309,Directed,1
560,29217,Directed,1
561,29310,Directed,1
561,29311,Directed,1
562,29312,Directed,1
563,29313,Directed,1
564,29314,Directed,1
565,29315,Directed,1
566,29316,Directed,1
17,489,Directed,1
567,29317,Directed,1
567,29318,Directed,1
568,29319,Directed,1
569,29320,Directed,1
569,28918,Directed,1
570,29321,Directed,1
570,29321,Directed,1
571,29322,Directed,1
571,29198,Directed,1
150,29323,Directed,1
150,29324,Directed,1
572,29325,Directed,1
573,29326,Directed,1
573,29326,Directed,1
574,598,Directed,1
574,29327,Directed,1
496,495,Directed,1
575,29328,Directed,1
576,29329,Directed,1
577,29330,Directed,1
578,29331,Directed,1
351,29332,Directed,1
579,29333,Directed,1
517,29334,Directed,1
580,29335,Directed,1
581,29336,Directed,1
581,598,Directed,1
581,29327,Directed,1
582,29337,Directed,1
583,29338,Directed,1
147,29339,Directed,1
584,29340,Directed,1
585,29341,Directed,1
586,29342,Directed,1
587,29343,Directed,1
587,21809,Directed,1
587,29344,Directed,1
587,29345,Directed,1
587,29346,Directed,1
587,138,Directed,1
587,29347,Directed,1
587,29348,Directed,1
587,7680,Directed,1
587,29349,Directed,1
587,29350,Directed,1
587,29351,Directed,1
587,29352,Directed,1
587,2759,Directed,1
587,29353,Directed,1
587,13247,Directed,1
587,29354,Directed,1
587,29355,Directed,1
587,29356,Directed,1
587,29357,Directed,1
587,29358,Directed,1
587,28392,Directed,1
587,29359,Directed,1
587,29360,Directed,1
587,29361,Directed,1
587,29362,Directed,1
587,29363,Directed,1
587,29364,Directed,1
587,29365,Directed,1
587,29366,Directed,1
587,29367,Directed,1
587,29368,Directed,1
587,11026,Directed,1
587,29301,Directed,1
587,29369,Directed,1
587,29370,Directed,1
587,849,Directed,1
587,29371,Directed,1
587,29372,Directed,1
587,29373,Directed,1
587,29374,Directed,1
587,29375,Directed,1
587,29376,Directed,1
587,29377,Directed,1
587,29378,Directed,1
587,29379,Directed,1
587,29380,Directed,1
587,29381,Directed,1
587,29382,Directed,1
587,29383,Directed,1
587,29384,Directed,1
587,29385,Directed,1
587,29386,Directed,1
587,29387,Directed,1
587,29388,Directed,1
587,11726,Directed,1
587,29389,Directed,1
587,29390,Directed,1
587,29391,Directed,1
587,29392,Directed,1
587,29393,Directed,1
587,29394,Directed,1
587,29395,Directed,1
587,29396,Directed,1
587,29397,Directed,1
587,29398,Directed,1
587,29399,Directed,1
587,29400,Directed,1
587,29401,Directed,1
587,29402,Directed,1
587,9668,Directed,1
587,29403,Directed,1
587,29404,Directed,1
587,29405,Directed,1
587,29406,Directed,1
587,29407,Directed,1
587,29408,Directed,1
587,29409,Directed,1
587,29410,Directed,1
587,29411,Directed,1
587,29412,Directed,1
587,29413,Directed,1
587,29414,Directed,1
587,29415,Directed,1
587,29416,Directed,1
587,29417,Directed,1
587,29418,Directed,1
587,29419,Directed,1
587,29420,Directed,1
587,29421,Directed,1
587,29422,Directed,1
587,29423,Directed,1
587,29424,Directed,1
587,29425,Directed,1
587,29426,Directed,1
587,29427,Directed,1
587,29428,Directed,1
587,29429,Directed,1
587,29430,Directed,1
587,29431,Directed,1
587,29432,Directed,1
587,29433,Directed,1
587,29339,Directed,1
587,29434,Directed,1
587,29435,Directed,1
587,29436,Directed,1
587,29437,Directed,1
587,29438,Directed,1
587,29439,Directed,1
587,29440,Directed,1
587,29441,Directed,1
587,29442,Directed,1
587,29443,Directed,1
587,29444,Directed,1
587,29445,Directed,1
587,29446,Directed,1
587,29447,Directed,1
587,29448,Directed,1
587,29449,Directed,1
587,29450,Directed,1
587,29451,Directed,1
587,29452,Directed,1
587,29453,Directed,1
587,29454,Directed,1
587,29455,Directed,1
587,694,Directed,1
587,29456,Directed,1
587,587,Directed,1
580,29457,Directed,1
588,29458,Directed,1
589,29459,Directed,1
590,29002,Directed,1
591,29460,Directed,1
592,29461,Directed,1
593,29462,Directed,1
594,29463,Directed,1
595,29464,Directed,1
596,29465,Directed,1
203,29466,Directed,1
597,29467,Directed,1
598,29327,Directed,1
599,29468,Directed,1
600,29469,Directed,1
601,29470,Directed,1
602,29235,Directed,1
603,29471,Directed,1
604,607,Directed,1
605,29472,Directed,1
522,29473,Directed,1
606,29474,Directed,1
607,29475,Directed,1
608,7668,Directed,1
605,29472,Directed,1
609,29476,Directed,1
610,29217,Directed,1
611,29477,Directed,1
612,29478,Directed,1
613,583,Directed,1
613,29479,Directed,1
583,29480,Directed,1
614,522,Directed,1
615,29481,Directed,1
616,29235,Directed,1
617,29482,Directed,1
618,29235,Directed,1
619,29217,Directed,1
620,29217,Directed,1
621,29235,Directed,1
622,815,Directed,1
605,29472,Directed,1
623,29239,Directed,1
624,29483,Directed,1
625,29217,Directed,1
626,29484,Directed,1
627,9824,Directed,1
628,29485,Directed,1
629,29486,Directed,1
630,29487,Directed,1
631,29235,Directed,1
632,29217,Directed,1
633,29217,Directed,1
634,29488,Directed,1
634,29489,Directed,1
634,29235,Directed,1
635,29490,Directed,1
636,29235,Directed,1
637,29338,Directed,1
287,29491,Directed,1
638,586,Directed,1
639,29492,Directed,1
640,29491,Directed,1
641,29217,Directed,1
642,29217,Directed,1
643,29217,Directed,1
644,29493,Directed,1
644,29494,Directed,1
644,29217,Directed,1
645,29494,Directed,1
645,29217,Directed,1
646,29217,Directed,1
647,29495,Directed,1
647,29217,Directed,1
648,29496,Directed,1
648,29497,Directed,1
648,29235,Directed,1
649,914,Directed,1
650,29217,Directed,1
651,29497,Directed,1
651,29235,Directed,1
652,29217,Directed,1
653,29217,Directed,1
654,29217,Directed,1
655,29235,Directed,1
656,29498,Directed,1
657,29217,Directed,1
658,663,Directed,1
658,29235,Directed,1
659,29499,Directed,1
660,29235,Directed,1
661,29217,Directed,1
661,29500,Directed,1
662,29501,Directed,1
662,29502,Directed,1
662,29235,Directed,1
663,29235,Directed,1
664,29235,Directed,1
665,11956,Directed,1
666,29235,Directed,1
667,29217,Directed,1
668,29235,Directed,1
669,29235,Directed,1
670,29235,Directed,1
671,29235,Directed,1
672,683,Directed,1
672,29217,Directed,1
673,29503,Directed,1
674,29504,Directed,1
675,29235,Directed,1
676,29235,Directed,1
677,29235,Directed,1
678,29235,Directed,1
679,29489,Directed,1
679,29235,Directed,1
680,29235,Directed,1
681,29217,Directed,1
682,29217,Directed,1
683,29217,Directed,1
684,29217,Directed,1
685,29217,Directed,1
686,29235,Directed,1
687,29235,Directed,1
688,29217,Directed,1
689,29505,Directed,1
690,29506,Directed,1
583,29507,Directed,1
691,1168,Directed,1
692,9679,Directed,1
693,29508,Directed,1
694,29509,Directed,1
694,29510,Directed,1
695,29511,Directed,1
696,29239,Directed,1
697,29239,Directed,1
698,29239,Directed,1
699,3739,Directed,1
700,29512,Directed,1
701,29485,Directed,1
702,29513,Directed,1
703,29239,Directed,1
704,29239,Directed,1
705,29513,Directed,1
706,29513,Directed,1
707,29514,Directed,1
608,709,Directed,1
708,709,Directed,1
549,709,Directed,1
549,29301,Directed,1
709,29301,Directed,1
710,29389,Directed,1
711,29515,Directed,1
712,29516,Directed,1
711,29517,Directed,1
233,29002,Directed,1
713,29518,Directed,1
714,28898,Directed,1
715,29519,Directed,1
716,29520,Directed,1
717,29521,Directed,1
718,29522,Directed,1
719,28391,Directed,1
720,29523,Directed,1
721,29524,Directed,1
722,29525,Directed,1
723,29526,Directed,1
724,29527,Directed,1
725,22199,Directed,1
726,29528,Directed,1
727,29529,Directed,1
728,12164,Directed,1
729,29530,Directed,1
730,29531,Directed,1
224,28810,Directed,1
224,28810,Directed,1
731,29532,Directed,1
732,29533,Directed,1
733,29534,Directed,1
734,29535,Directed,1
735,29536,Directed,1
736,29537,Directed,1
737,29538,Directed,1
738,29539,Directed,1
738,29540,Directed,1
739,29541,Directed,1
740,29542,Directed,1
740,29543,Directed,1
741,29543,Directed,1
742,29544,Directed,1
743,29544,Directed,1
743,29545,Directed,1
742,29544,Directed,1
744,29481,Directed,1
745,3639,Directed,1
746,29546,Directed,1
747,29547,Directed,1
748,29548,Directed,1
749,2067,Directed,1
750,752,Directed,1
751,29549,Directed,1
752,750,Directed,1
753,27853,Directed,1
754,29550,Directed,1
755,29298,Directed,1
756,29551,Directed,1
757,3965,Directed,1
758,4182,Directed,1
433,29552,Directed,1
433,21092,Directed,1
433,10159,Directed,1
759,763,Directed,1
759,29105,Directed,1
760,28808,Directed,1
761,29553,Directed,1
761,761,Directed,1
762,5329,Directed,1
763,29105,Directed,1
764,28803,Directed,1
765,29554,Directed,1
765,29555,Directed,1
752,29556,Directed,1
752,525,Directed,1
752,28306,Directed,1
766,29557,Directed,1
767,6729,Directed,1
768,29558,Directed,1
769,29557,Directed,1
242,29559,Directed,1
242,29560,Directed,1
770,29555,Directed,1
771,29561,Directed,1
772,968,Directed,1
773,29555,Directed,1
774,29555,Directed,1
775,29562,Directed,1
772,968,Directed,1
776,29563,Directed,1
777,29564,Directed,1
778,29021,Directed,1
779,29565,Directed,1
780,29566,Directed,1
781,29567,Directed,1
782,29568,Directed,1
782,29569,Directed,1
783,29570,Directed,1
784,29571,Directed,1
785,29572,Directed,1
785,29569,Directed,1
786,29569,Directed,1
74,29573,Directed,1
787,29574,Directed,1
788,29575,Directed,1
789,29576,Directed,1
789,29577,Directed,1
790,29578,Directed,1
791,29579,Directed,1
792,29141,Directed,1
793,29580,Directed,1
794,29581,Directed,1
795,29582,Directed,1
796,29583,Directed,1
797,29584,Directed,1
797,29584,Directed,1
798,29570,Directed,1
233,29002,Directed,1
583,29002,Directed,1
799,29516,Directed,1
583,29585,Directed,1
583,29516,Directed,1
800,29516,Directed,1
801,29516,Directed,1
802,29002,Directed,1
802,29002,Directed,1
803,29002,Directed,1
804,29516,Directed,1
805,29516,Directed,1
806,29516,Directed,1
807,808,Directed,1
807,29586,Directed,1
808,807,Directed,1
807,808,Directed,1
809,29587,Directed,1
809,9979,Directed,1
522,29588,Directed,1
810,29589,Directed,1
811,29590,Directed,1
812,12252,Directed,1
813,29591,Directed,1
814,29591,Directed,1
815,29592,Directed,1
816,29593,Directed,1
52,28829,Directed,1
817,29594,Directed,1
622,2046,Directed,1
818,29595,Directed,1
819,29596,Directed,1
820,29596,Directed,1
821,29596,Directed,1
822,29597,Directed,1
823,822,Directed,1
824,8222,Directed,1
825,29598,Directed,1
826,29599,Directed,1
827,29600,Directed,1
828,29601,Directed,1
738,29540,Directed,1
738,29539,Directed,1
829,29602,Directed,1
830,29603,Directed,1
831,29601,Directed,1
832,29604,Directed,1
833,29605,Directed,1
833,29606,Directed,1
834,29607,Directed,1
835,29608,Directed,1
835,29609,Directed,1
836,29610,Directed,1
837,29611,Directed,1
838,815,Directed,1
839,29612,Directed,1
840,25520,Directed,1
841,29613,Directed,1
842,29614,Directed,1
843,29615,Directed,1
844,29616,Directed,1
393,29617,Directed,1
845,28882,Directed,1
846,29618,Directed,1
846,29619,Directed,1
847,29141,Directed,1
848,29620,Directed,1
144,29621,Directed,1
849,29141,Directed,1
850,29622,Directed,1
851,29623,Directed,1
852,28869,Directed,1
853,29624,Directed,1
853,29625,Directed,1
854,29626,Directed,1
855,29627,Directed,1
856,29628,Directed,1
857,29579,Directed,1
743,29629,Directed,1
858,1868,Directed,1
859,29579,Directed,1
860,981,Directed,1
861,25790,Directed,1
862,29630,Directed,1
863,29631,Directed,1
864,29632,Directed,1
865,29633,Directed,1
866,29634,Directed,1
867,29635,Directed,1
868,29636,Directed,1
869,815,Directed,1
870,29637,Directed,1
870,29638,Directed,1
870,870,Directed,1
361,29639,Directed,1
871,29640,Directed,1
872,29641,Directed,1
873,29598,Directed,1
874,29480,Directed,1
213,29642,Directed,1
875,29643,Directed,1
876,29644,Directed,1
877,29645,Directed,1
878,29646,Directed,1
870,29638,Directed,1
879,29647,Directed,1
880,29648,Directed,1
881,29649,Directed,1
