,usuario,texto;;;
504,@BolsonaroSP,@BolsonaroSP Corona acabe com ela https://t.co/iRCHaDRI5V;;;
507,@BolsonaroSP,@BolsonaroSP q o corona te possua;;;
514,@BolsonaroSP,@BolsonaroSP vai corona faça o que for preciso https://t.co/UZ7HrKB0yP;;;
516,@BolsonaroSP,@BolsonaroSP tomara que pegue corona e m***a;;;
"517,@BolsonaroSP,""@AneGAfreitas @BolsonaroSP @PRF_Aggio Nos éramos  57. Agora somos muitos mais  milhões. Os ESQUERDOPATAS não vá  morrer de Corona. vá  morrer de raiva, não é  seu Alexandre de Moraes?""";;;
"518,@BolsonaroSP,""@IBacaninha @BolsonaroSP Procura ler um estudo científico sobre qual é a origem do coronavírus, depois, pesquise sobre o ano que a primeira cepa do Corona apareceu na China, depois, vc pesquisa estudos científicos sobre o coronavírus ter sido criado em laboratório""";;;
524,@BolsonaroSP,@RitaPatriaAmada @BolsonaroSP @PRF_Aggio Acho que já passamos dos 57 milhões. Em 2022 com certeza seremos 100 milhões juntos com o CAPITá . Os ESQUERDOPATAS não vá  morrer do Corona. vá  morrer de raiva que é  muito pior. Pra frente CAPITá ; o Brasil tem pressa;;
"530,@BolsonaroSP,""@BolsonaroSP @allantercalivre Foi esse daí­ que junto com Marquês de rabicó dançando, falou : corona é o caralho? Ele ainda está sem acreditar no corona junto com seu pai,o da gripezinha?""";;;
548,@BolsonaroSP,@fmarsolla @Flaviambrito @BolsonaroSP Verdade mesmo é borracheiro que morreu pneu estourou foi para hospital óbito corona só não ver quem não quer se fosse só um seria coincidência mas é muitos casos;;;
"549,@BolsonaroSP,""@BolsonaroSP @allantercalivre PolÍcia Federal está de parabéns e assim mesmo que se trata vagabundo. Nunca esqueceremos do """" coronavírus é o caralho""""""";;;
554,@BolsonaroSP,@BolsonaroSP corona rolando solto https://t.co/I01QV18Mg5;;;
556,@BolsonaroSP,@BolsonaroSP TOMARA QUE PEGUEM CORONA BANDO DE DOENTE;;;
"559,@BolsonaroSP,""@BolsonaroSP que fofo que vcs está  juntos, espero que o corona também esteja com vcs ğŸ¥°""";;;
564,@BolsonaroSP,@BolsonaroSP coronavírus faça seu trabalho ğŸ™;;;
570,@BolsonaroSP,@BolsonaroSP corona faça o quer for preciso;;;
572,@BolsonaroSP,@BolsonaroSP o corona vai amar vcs juntinhos ğŸ¥°ğŸ¥°ğŸ¥°ğŸ¥°ğŸ¥°ğŸ¥°;;;
"573,@BolsonaroSP,""@BolsonaroSP Cometeu várias e várias vezes, quando inflamou ódio ao Hamas, quando disse que a China fabricou o coronavírus em labortório, quando disse que iria implantar um novo AI-5, quando disse que iria armar os seus para atacar opositores da milícia Vc e sua família quebraram várias leis""";;;
"574,@BolsonaroSP,""@BolsonaroSP Seria maravilhoso se o senhor e sua família estivessem juntos cm a vida humana como, por exemplo, combatendo o corona e n propagando ideias de supremacia (mesmo o senhor e sua família sendo latinos)""";;;
575,@BolsonaroSP,@BolsonaroSP vá  lá pegar o corona de vcs;;;
582,@BolsonaroSP,@BolsonaroSP Sou de comunidade e falo este tal coronavírus e só pra tira o presidente globo lixo só fala isso e estamos esperando o pico sou do rio de comunidade e nunca teve isso aqui geral na rua jogando bola vida normal .porque vcs não vá  nas comunidade ver.o tal coronavírus;;;
593,@BolsonaroSP,@betoalvesx @BolsonaroSP coronavírus é Só“ UMA GRIPIZINHA;;;
"603,@BolsonaroSP,""@BolsonaroSP O que tem a ver essa foto?";;;
;;;
"PS: vamos nos concentrar no coronavírus Deputado e na volta da Economia""";;;
629,@BolsonaroSP,@BolsonaroSP Kkkkkkkkk rindo até o pico do coronavírus chegar ğŸ˜‚;;;
701,@BolsonaroSP,@BolsonaroSP @allantercalivre dois toletes de merda ... corona é o caralho ...né filho da puta ?????;;;
