Source,Target,Type,Weight
185,637,Directed,1
61,638,Directed,1
186,639,Directed,1
187,640,Directed,1
188,188,Directed,1
189,641,Directed,1
190,642,Directed,1
191,554,Directed,1
161,643,Directed,1
192,644,Directed,1
193,469,Directed,1
192,644,Directed,1
33,400,Directed,1
194,616,Directed,1
194,645,Directed,1
195,501,Directed,1
195,646,Directed,1
33,647,Directed,1
26,648,Directed,1
196,649,Directed,1
197,650,Directed,1
197,651,Directed,1
198,652,Directed,1
198,653,Directed,1
161,549,Directed,1
199,398,Directed,1
110,654,Directed,1
200,655,Directed,1
201,656,Directed,1
202,469,Directed,1
203,648,Directed,1
204,657,Directed,1
204,478,Directed,1
126,658,Directed,1
126,659,Directed,1
126,660,Directed,1
126,661,Directed,1
205,662,Directed,1
126,658,Directed,1
126,660,Directed,1
126,661,Directed,1
171,663,Directed,1
171,664,Directed,1
206,665,Directed,1
207,666,Directed,1
208,667,Directed,1
208,668,Directed,1
208,669,Directed,1
209,670,Directed,1
209,671,Directed,1
210,672,Directed,1
211,673,Directed,1
211,674,Directed,1
212,675,Directed,1
213,676,Directed,1
214,677,Directed,1
214,677,Directed,1
168,678,Directed,1
214,677,Directed,1
215,678,Directed,1
216,469,Directed,1
216,469,Directed,1
216,679,Directed,1
217,680,Directed,1
218,681,Directed,1
219,682,Directed,1
220,683,Directed,1
221,620,Directed,1
222,385,Directed,1
223,684,Directed,1
224,685,Directed,1
224,686,Directed,1
225,687,Directed,1
225,688,Directed,1
225,687,Directed,1
225,390,Directed,1
226,689,Directed,1
227,690,Directed,1
228,691,Directed,1
228,228,Directed,1
228,692,Directed,1
229,354,Directed,1
230,693,Directed,1
230,694,Directed,1
231,695,Directed,1
232,696,Directed,1
233,697,Directed,1
234,480,Directed,1
235,698,Directed,1
235,699,Directed,1
236,700,Directed,1
237,698,Directed,1
238,398,Directed,1
239,701,Directed,1
240,702,Directed,1
241,679,Directed,1
242,679,Directed,1
243,389,Directed,1
244,703,Directed,1
245,704,Directed,1
245,704,Directed,1
246,705,Directed,1
246,706,Directed,1
247,398,Directed,1
248,707,Directed,1
249,708,Directed,1
250,709,Directed,1
251,438,Directed,1
252,710,Directed,1
253,711,Directed,1
253,253,Directed,1
254,712,Directed,1
161,713,Directed,1
255,714,Directed,1
255,255,Directed,1
256,678,Directed,1
256,715,Directed,1
196,649,Directed,1
256,488,Directed,1
256,385,Directed,1
257,716,Directed,1
258,528,Directed,1
259,717,Directed,1
260,615,Directed,1
261,718,Directed,1
262,403,Directed,1
263,719,Directed,1
264,720,Directed,1
86,721,Directed,1
265,722,Directed,1
266,723,Directed,1
267,724,Directed,1
267,704,Directed,1
268,725,Directed,1
268,726,Directed,1
269,727,Directed,1
270,559,Directed,1
270,728,Directed,1
271,729,Directed,1
272,730,Directed,1
273,731,Directed,1
273,732,Directed,1
273,733,Directed,1
273,734,Directed,1
274,735,Directed,1
275,736,Directed,1
275,737,Directed,1
276,382,Directed,1
277,598,Directed,1
277,549,Directed,1
278,738,Directed,1
279,739,Directed,1
265,740,Directed,1
265,741,Directed,1
280,742,Directed,1
280,743,Directed,1
86,744,Directed,1
281,398,Directed,1
281,745,Directed,1
282,404,Directed,1
283,402,Directed,1
284,746,Directed,1
284,747,Directed,1
285,748,Directed,1
162,749,Directed,1
286,750,Directed,1
287,751,Directed,1
288,752,Directed,1
288,753,Directed,1
289,754,Directed,1
289,755,Directed,1
290,756,Directed,1
291,757,Directed,1
291,757,Directed,1
292,758,Directed,1
293,759,Directed,1
294,469,Directed,1
295,760,Directed,1
296,761,Directed,1
297,762,Directed,1
298,763,Directed,1
299,764,Directed,1
300,765,Directed,1
300,766,Directed,1
301,767,Directed,1
302,768,Directed,1
303,769,Directed,1
304,770,Directed,1
305,771,Directed,1
306,772,Directed,1
307,773,Directed,1
308,774,Directed,1
309,775,Directed,1
310,776,Directed,1
311,777,Directed,1
312,778,Directed,1
313,779,Directed,1
314,780,Directed,1
315,781,Directed,1
315,782,Directed,1
310,783,Directed,1
316,784,Directed,1
316,784,Directed,1
317,785,Directed,1
318,786,Directed,1
319,787,Directed,1
320,788,Directed,1
321,789,Directed,1
322,790,Directed,1
323,791,Directed,1
323,792,Directed,1
324,793,Directed,1
325,794,Directed,1
326,795,Directed,1
86,796,Directed,1
327,797,Directed,1
327,475,Directed,1
328,798,Directed,1
329,799,Directed,1
327,800,Directed,1
330,801,Directed,1
331,390,Directed,1
332,802,Directed,1
333,803,Directed,1
334,804,Directed,1
335,403,Directed,1
336,805,Directed,1
337,806,Directed,1
337,806,Directed,1
338,807,Directed,1
339,398,Directed,1
340,808,Directed,1
341,809,Directed,1
342,810,Directed,1
342,811,Directed,1
343,812,Directed,1
343,813,Directed,1
344,814,Directed,1
298,815,Directed,1
345,816,Directed,1
345,817,Directed,1
346,818,Directed,1
347,819,Directed,1
348,820,Directed,1
349,821,Directed,1
350,822,Directed,1
351,823,Directed,1
351,824,Directed,1
351,823,Directed,1
351,824,Directed,1
