,usuario,texto;;;
"799,@RodrigoMaia,""@RodrigoMaia Também sinto pelos que morreram. Pelo Coronavírus que voce e sua  corja ajudou assassinar pensando em se promover. #ForaMaia ";;;
"#NaoVotemNoDEM""";;;
"821,@RodrigoMaia,""@cristinaarfrei1 @RodrigoMaia @Marcelo_Cicconi Inteligente,  lembre-se,  STF delegou que os estados e municípios são responsáveis pelas decisões sobre corona, STF rasgando constituição,  criando leis... vai cobrar dos governadores e prefeitos e para de falar Merda no Twitter""";;;
"916,@RodrigoMaia,""@RodrigoMaia DERROTAR O CORONA E O DESTRUIDOR DA AMAZÔNIA E DA IMAGEM DO PAÍS. O CONGRESSO, NO SEU COMANDO ,é VAI TOMAR ATITUDES CONTRA O CRIMINOSO RICARDO SALLES ?!?";;;
"https://t.co/BwisENkIP7""";;;
999,@RodrigoMaia,@RodrigoMaia O inimigo? Já estamos esperando que o Coronavírus faça um pronunciamento de como a gente se livra desse PR louco ğŸ¤¦â€â™€ï¸ #GabineteDoOdioNaCadeia #SaraWinterNaCadeia ğŸ¤–;;;
"1057,@RodrigoMaia,""@pauloteixeira13 @RodrigoMaia @guimaraes13PT No pós Coronavírus,  caso haja congresso e STF, pela inação desses ineptos e covardes.""";;;
"1110,@RodrigoMaia,""@RodrigoMaia  O Brasil servindo de Chacotas para outras Nações . Desemprego , Coronavírus , Rombo nas Contas Públicas . E o Presidente Preocupado com amigos da Fakenews . Alguém pega esse Timão . Somos uma Nação sem Direção...""";;;
1134,@RodrigoMaia,@RodrigoMaia Primeiro temos que vencer os curroptos os lulas os maias os alcolubre os Aécios os corruptos do STF que defendem esses ladroes. quando isso acontecer ai nao vai ter corona que derrube o brasil #STFVergonhaNacional;;;
1239,@RodrigoMaia,@camaradeputados @RodrigoMaia é estamos nem ai para Coronavírus... queremos saber é a opinião dele pelos atos do STF impondo um cala a boca nas redes sociais. https://t.co/ma2vKZbzR6;;;
"1329,@RodrigoMaia,""@Alexandregalvs @wilmacristina @alexandre @RodrigoMaia Esse cara é um comunista! Veja o sobrenome """" Corona""""""";;;
"1355,@RodrigoMaia,""@RodrigoMaia Tem mais picaretas Congresso que Coronavírus em circulação. Povo lascado pra sobreviver, empresas fechando, e os canalhas distribuindo dinheiro, em vez de estimular o mercado durante a pandemia. Surreal demais, meu Deus.""";;;
1376,@RodrigoMaia,@austro_rg @marcelvanhattem @RodrigoMaia @iingwen Ditadura dos governadores do Nordeste em nome do Coronavírus. https://t.co/EaQXQYMtwE;;;
1395,@RodrigoMaia,@RodrigoMaia Inacreditável! Pk vc é libera o fundão eleitoral e partidário para o combate ao corona? Vc acha que alguém quer saber de cultura hoje em dia? Ou é p aprender a tocar música e fazer malabarismo nos semáforos?;;;
"1399,@RodrigoMaia,""@RodrigoMaia Mais recursos pra serem roubados. Cultura mata a fome, cura as vílimas do Coronavírus,em momento de pandemia!?!                    #MaiaTemQueSair""";;;
"1415,@RodrigoMaia,""@RodrigoMaia Meu caro, o maior inimigo do país, é se chama Coronavírus e sim STF, SENADO, a POLÍTICA CORRUPTA que foi implantada, esses sim são os piores e maiores inimigos do povo, através de um vírus, vocês resolveram atacar o presidente de infinitas formas.""";;;
"1418,@RodrigoMaia,""@RodrigoMaia Eles têm que entrar na fila do corona voucher, assim como todo brasileiro, mais dinheiro indo para o ralo @RodrigoMaia""";;;
"1419,@RodrigoMaia,""@RodrigoMaia Eles têm que entrar na fila do corona voucher, assim como todo brasileiro, mais dinheiro indo para o ralo @RodrigoMaia""";;;
"1420,@RodrigoMaia,""@SuelenP87868361 @GlauberMAV @thipera @RodrigoMaia Sim, por isso o """"Corona Voucher"""" é um auxílio pro trabalhador brasileiro, independente da profissão.""";;;
"1447,@RodrigoMaia,""@jussarakommers @RodrigoMaia É um corona voucher que inclui pessoas ligadas a escolas de arte, manutenção de espaços culturais etc. Mas por que os deputados é pegaram o orçamento do fundão para esse fim? O valor é bem esse, por coincidência.""";;;
"1458,@RodrigoMaia,""@RodrigoMaia a crise nao foi causada pelo coronavírus, mas pelos ditadores que apossados dos estados impedem usando força policial os trabalhadores honestos de ganharem o seu pão""";;;
"1468,@RodrigoMaia,""@RodrigoMaia vc ta de brincadeira! 3 bilhoes pra cultura? nesse momento de crise? coronavírus? em q mundo vc vive?";;;
"so carioca mesmo pra votar em vc! tomara q nao se reeleja, vou trabalhar pra isso!""";;;
"1476,@RodrigoMaia,""@RodrigoMaia A Pátria tem alguns inimigos. O corona é só um deles e esse virus está sendo usado por outros virus para desviar dinheiro publico e matar muito mais pessoas. Tem virus bosta, virus estrume, virus botafogo, virus batoré, virus alexandre, virus celso, nossa como tem ğŸ˜”""";;;
"1478,@RodrigoMaia,""@RodrigoMaia .";;;
"O que você e a Câmara estão fazendo é uma irresponsabilidade fiscal e totalmente fora de propósito no momento da crise do Coronavírus.... https://t.co/adY4ZrHqRJ""";;;
"1487,@RodrigoMaia,""Nesta altura do campeonato, com tanta lambança de Bolsonaro e e seus ministros, ele põe a culpa da crise no Coronavírus. Ah nem!";;;
@RodrigoMaia @RodrigoMaia ajuda aí. ;;;
#ForaTodos ;;;
"#ImpeachmentdoBolsonaroURGENTE https://t.co/QTRUTgK8bO""";;;
"1491,@RodrigoMaia,""@RodrigoMaia Durante crise do corona, Câmara aprova 3bi para a cultura! É Isso seus canalhas! E  as empresas que estão fechando? E os milhares de pais de família desempregados? Por que é deram o fundão eleitoral partidário para a cultura? Seus desgraçados!""";;;
"1500,@RodrigoMaia,""@RodrigoMaia Redução dos salários da classe polílica em todos os níveis! Uso do Fundão eleitoral no combate ao corona. Pautar a prisão em segunda instância. Reduzir as regalias dos polílicos até 2022! Cheio de soluções pautáveis, mas virou um blá blá blá. Botafogo é é só um time ou bairro!""";;;
"1504,@RodrigoMaia,""@RodrigoMaia Durante crise do corona, Câmara aprova 3bi para a cultura! É Isso seus canalhas! E  as empresas que estão fechando? E os milhares de pais de família desempregados? Por que é deram o fundão eleitoral partidário para a cultura? Seus desgraçados!""";;;
"1507,@RodrigoMaia,""@camaradeputados @RodrigoMaia Durante crise do corona, Câmara aprova 3bi para a cultura! É Isso seus canalhas! E  as empresas que estão fechando? E os milhares de pais de família desempregados? Por que é deram o fundão eleitoral partidário para a cultura? Seus desgraçados!""";;;
"1516,@RodrigoMaia,""@VEJA @RodrigoMaia NHONHO FALOU â€œOLHA ELE, OLHA ELE, OLHA ELEâ€, hahahahaha.....Larga de hipocrisia e libera o fundo partidário para combate ao Corona!!!""";;;
"1524,@RodrigoMaia,""@RodrigoMaia doar o dinheiro (bilhões) do fundão partidário para ajudar no combate ao coronavírus chinês, nada né?";;;
"Ao invés de dar pêsames, pegue esse dinheiro, que é do povo, e devolva aos cofres públicos seu maldito!""";;;
"1530,@RodrigoMaia,""@RodrigoMaia Eu acho que o Sr. @RodrigoMaia   inverteu a ordem dos fatores, na realidade, o correto seria """"A voz dos brasileiros  unidos deveria ser a voz traduzida da Casa de leis"""". E digo mais, é só sobre o Coronavírus, mas também sobre os anseios da Decência e Honestidade sobre as leis.""";;;
"1531,@RodrigoMaia,""@RodrigoMaia Eu acho que o Sr. @RodrigoMaia   inverteu a ordem dos fatores, na realidade, o correto seria """"A voz dos brasileiros  unidos deveria ser a voz traduzida da Casa de leis"""". E digo mais, é só sobre o Coronavírus, mas também sobre os anseios da Decência e Honestidade sobre as leis.""";;;
1532,@RodrigoMaia,@RenovaMidia O corona é um vírus que ataca as pessoas indidualmente @RodrigoMaia é um vírus que ataca o PAÍS INTEIRO ao mesmo tempo.;;;
"1533,@RodrigoMaia,""@RodrigoMaia é estou vendo o senhor proteger nem a democracia, nem nosso povo que morre aos milhares. Podia ter salvo muitos brasileiros se tivesse agido rapidamente para afastar quem nos quer mortos, de corona ou de fome.""";;;
"1537,@RodrigoMaia,""@RodrigoMaia E a grave crise polílica que vcs estão fazendo";;;
"Usando o Coronavírus para derrubar um presidente que está tentando lutar pelos brasileiros e vcs atrapalhando pois é querem largar o osso,  quem continuar no poder e continuar  a nos  roubar.""";;;
"1541,@RodrigoMaia,""@RodrigoMaia Como ter paz? Corona de um lado, Bolsonaro do outro, o legislativo Ã  mercê de conveniências polílicas, sem considerar a realidade da maioria da população? O povo aguenta enquanto pode, a maioria do povo se ajuda sem o Estado saber! é se governa com milícia!! Nem com fake news!!""";;;
1545,@RodrigoMaia,@mariadorosario @RodrigoMaia @camaradeputados A senhora já pegou o Corona?;;;
"1617,@RodrigoMaia,""@RodrigoMaia Parabéns ğŸ‘ğŸ‘ğŸ‘ğŸ‘ pelo iniciativa, o mais importante neste momento e discutir sobre as vidas que estão se perdendo e as q podem ser salvas sou funcionária da saúde e estou de quarenta infectada pelo coronavírus e ficarei muito feliz. Me ajudará muito.""";;;
1863,@RodrigoMaia,@RodrigoMaia é adianta combater o corona e ao mesmo permitir as barbaridades do bolsonaro. Isso eh enxugar gelo.;;;
"2242,@RodrigoMaia,""@portalR7 @RodrigoMaia @ChristinaLemos @eduribeirotv O BRASIL É O NOVO EPICENTRO DO CORONA, MAIS 200 MIL CASOS, MAIS DE 20 MIL MORTES PELO VIRUS E VOCE NAO ACEITA A PORRA DE NENHUM DOS MAIS DE 20 PEDIDOS DE IMPEACHMENT P VOTAAÇAO! ";;;
;;;
"SÓ FAAÇA A SEU TRABALHO @RodrigoMaia. NAO EH PEDIR DEMAIS.""";;;
"2309,@RodrigoMaia,""@pelohpolis @bolinhorosa_ @jairbolsonaro @RodrigoMaia Nossa, qm pega corona já está morto, meuDeus fica todo mundo em casa!!!!""";;;
"2343,@RodrigoMaia,""@felixoneto @bolinhorosa_ @jairbolsonaro @RodrigoMaia o trabalhar dele é bem diferente do nosso, ele passa maior parte do tempo na sua linda salinha com ar condicionado, enquanto que muitos q são mais pobres trabalham no sol, na esperança de ter seu ganha-pão, desprotegido, vílima de várias doenças, é só do corona""";;;
2661,@RodrigoMaia,@LeoPalhano @RodrigoMaia @jairbolsonaro Foi seu canforado que deu graças ao corona! é o presidente !!;;;
"2854,@RodrigoMaia,""@terraqueodaniel @randolfeap @RodrigoMaia Por mim vc pode ir pra rua sem máscara, lamber as maçanetas, encher o cu de corona, to nem aí.";;;
Só fico triste pela sua família que será contaminada por conta da sua ignorância. Dando sua vida pelo bolsonaro e ele nem sabe que vc existe. ;;;
"Proteja sua família e amigos!""";;;
"2867,@RodrigoMaia,""@RodrigoMaia Porra..tanta gente que morre de coronavírus neste país e tu aí vivo enchendo os bolsos.";;;
"#foramaia""";;;
"3134,@RodrigoMaia,""a gente só vai vencer o Coronavírus se o bolsonaro sair, a gente precisa de pessoas com responsabilidades em suas falas e atitudes. do jeito que tá, é dá mais @RodrigoMaia !!!""";;;
3279,@RodrigoMaia,@RodrigoMaia Vcs fazem reunião é resouve  nada só parA ti avisa ja passaram d vinte mil mortos pelo corona e esse presidente d merda falando bosta iai essa reunião resolveram algo aff;;;
3381,@RodrigoMaia,@RodrigoMaia O Fundão eleitoral já foi destinado p combater o Coronavírus?;;;
3388,@RodrigoMaia,@RodrigoMaia Acho que o melhor mesmo era uma nota de repúdio ao corona;;;
"3408,@RodrigoMaia,""@RodrigoMaia Há... E acabei de falar com minha família aqui, se eu morrer de qualquer coisa dá um jeito de por no óbito que foi Coronavírus. A indenização é bem significativa pra quem nunca viu tanto ğŸ’°""";;;
"3419,@RodrigoMaia,""@RodrigoMaia Vocês já aprovaram várias medidas, contra o Coronavírus, para auxiliar o povo, as empresas, os Estados, resta saber quando isso vai começar a chegar nos vulneráveis de verdade, pelo que estamos vendo, continuam na gaveta de Bolsonaro.""";;;
3429,@RodrigoMaia,@RodrigoMaia Maia você também é responsável pelas mortes do Coronavírus. Ao dar cobertura ao Bolsonaro você torna-se co-autor dessa polílica de extermínio do Bolsonaro.;;;
"3433,@RodrigoMaia,""@RodrigoMaia meu presidente para 2022. Cada um no seu espaço, Tchau Corona https://t.co/1upAooUoeo""";;;
"3451,@RodrigoMaia,""@DatenaOficial @RBandeirantes @canalzico10 @RodrigoMaia O povo com o feriado vão tudo para o interior dissiminar";;;
" o corona""";;;
