,usuario,texto;;
"740,@g1,""@g1 Agora 2020 tb vai meter um planeta dos macacos pra colocar uma cereja no bolo.";;
Enquanto ta todo mundo em casa os macacos vão assumir as bases militares.;;
"No final foram eles que criaram o corona pra dominar o mundo!""";;
"743,@g1,""@g1 Logicamente é  chupar a  laranja durante o dia e Ã  noite eu faço o  suco de acerola os dois são vitamina C eu não preciso tomar injeção da gripe não, queria  mesmo tomar injeção do coronavirus covid-19  para não morrer@Bot_Corona_V@CoronavirusBra1 @CoronaVirusTime@CoronavirusAL""";;
"745,@g1,""@g1 Macacos esquerdistas, querendo propagar mais o corona pra continuarem sem trabalhar""";;
746,@g1,@g1 Condo a corona 19 passa a polícia federal vai prender mas ladrão duque o governo de Lula e Dilma juntos pra cala a bocas desses Bolsonaro ladrão ele foi 7 vezes deputado federal pelo rio nuca feis nada ele siaposentou com 33 anos;;
"748,@g1,""@AdolfoHyller @inefavel44 @idohferreira @g1 a verdade é que o vírus encontrado nos EUA é mais antigo que as amostras chinesas. A tal da pneumonia misteriosa nos EUA, bem antes de descobrirem que era o corona. https://t.co/dW5jUYrhWA""";;
"786,@g1,""@g1 COM O CORONAVÍRUS SOLTO, AS COISAS ESTÃO DIFÍCIL AQUI EM CASA O MEU SONHO É DAR UM FUTURO MELHOR PRA MINHA FAMÍLIA, TÓ COM ESSE CANAL PRA PODER REALIZAR ESSE MEU SONHO. PODE ME AJUDAR SE INSCREVENDO NO CANAL. AGRADEÇO ";;
"https://t.co/7kGLMgffzD""";;
787,@g1,@g1 @cancerixna a cura do corona vai vir das pesquisas dos macacos;;
791,@g1,@g1 O corona infectara os macacos criando uma nova mutaçao da doença;;
"798,@g1,""@g1 """"Aaaaah, vamos infectar primatas com coronavírus de um jeito diferente pra ver no que dá"""".""";;
"804,@g1,""@ShadowCouel @MichaelMeinhof @zPsload_ @7Zaks7 @g1 Sinceramente, assim não dá nem pra ter um debate. Você está misturando coronavírus com eleições há anos atrís? Ou eleições deste ano que ainda nem aconteceram? Jesus amado.... Vocês viajam muito.""";;
816,@g1,@AliancaPelaDem @g1 E se eles pegam corona mas o corpo deles cria um anticorpo contra o vírus que pode ser usado em humanos??? https://t.co/FG0XRyYdKf;;
"818,@g1,""@g1 Macacos se contaminam, acontece mutação do vírus e infectar humanos com outro tipo de corona.... se não capturarem o animal vai ser bem ruim""";;
825,@g1,@wwhylia @g1 @larisinh4 corona só cura com Kate Walsh sentando na sua cara;;
828,@g1,@1_a_l_g_u_e_m @g1 @larisinh4 e cabe a addison pq a Kate Walsh por si só é a cura do corona;;
"840,@g1,""@Waveboomclack @gilleite9 @W3LL1nGT0N_JR @spfcMarcos_ @gustavobrtt @g1 O Brasil inteiro está subnotificando, o número de contaminados é muito maior, na minha opinião mais de 30 por cento da população já pegou coronavírus, eles só fazem o teste em quem fica grave";;
"Mas os UTis ai não estão lotados, o sistema de saúde ai está controlado""";;
"843,@g1,""@gilleite9 @Waveboomclack @W3LL1nGT0N_JR @spfcMarcos_ @gustavobrtt @g1 Por exemplo, o governo de Minas Gerais nãodecretou quarentena, ele deixou as medidas de combate ao coronavírus a cargo dos prefeitos, ele descentralizou o poder";;
;;
"Areais que não tinham vírus ou poucos casos não fecharam e outras com mais casos fecharam""";;
848,@g1,@augmedeiros78 @g1 Tá com tanta pressa assim de pegar corona?;;
858,@g1,@g1 por isso sonho todo dia que alguém tá me matando ou morrendo de corona @ThiagoSantinon;;
899,@g1,@g1 O Fica em casa deu certo. O país foi destruído e as pessoas estão morrendo de fome e de coronavírus.  Satisfeitos?;;
900,@g1,@Carongavirus @g1 Quanto pior melhor neh amigão. O que esperar de quem se alinha ao â€œainda bem que a natureza criou o corona-virusâ€?;;
"903,@g1,""@g1 @renataloprete @raphaelfaraco @UFPel Agora já era, quem tem condição cuide de sua saúde comendo melhor, ingerindo mais frutas e vegetais na dieta, praticando atividade física e se apegue a sua fé.";;
"No Brasil só quem é seu aliado contra o corona é você.""";;
"904,@g1,""@g1 Muita gente sendo atestada de morte por coronavírus e ao ser procurado pelo jornal da Record os hospitais assumiram que não tiveram tempo pra apurar o real motivo da morte. É um absurdo! Tem muita gente importante ganhando dinheiro nessa suposta pandemia gente, vamos acordar!""";;
"909,@g1,""@g1 Loucos para serem possuídos  pelo corona. ";;
"Ganância..""";;
910,@g1,@g1 Surreal são ainda 27% de pessoas acharem qie Bolsonaro está gerindo bem a crise do Corona. Está sendo desastroso!;;
"921,@g1,""@spfcMarcos_ @gustavobrtt @g1 O STF excluiu o presidente de participar do combate ao corona, tidas as ações foram feitas por governadores e prefeitos";;
"O presidente queria fazer como  o Japão, mas os governadores quiseram seguir o exemplo da Itália, Reino Unido e EUA""";;
"923,@g1,""@g1 A gestao do coronavírus cabe aos Estados e municípios, determinou o STF, se há algo errado a responsabilidade e de governadores e prefeitos. O que cabe ao governo federal e dar dinheiro pra que seja desviado.""";;
"924,@g1,""@g1 Mas assim... me falem aí­ da """"gestão"""" do bolsonaro no tocante ao que se refere a questão do coronavírus taoquei? ";;
"Eu queria aprovar ou desaprovar a tal """"gestão'... ";;
"É possivel alguem mostrar ai a """"gestão'?""";;
930,@g1,@amcysne @g1 coronavírus foi criado pra acabar com o gado doente;;
"938,@g1,""@Dudacarioca3 @g1 Sim, to com corona...""";;
"955,@g1,""@rafaelzm16 @ARevoluo2 @beththj @g1 é só entrar no teu perfil que a gente vê que você gosta de falar das aparências dos outros";;
;;
"bota a cara aí­ pra gente usar pra espantar o coronavírus""";;
980,@g1,@g1 Isso e muito  sério e triste tbm.... não e so uma gripezinha!! O sogro do meu irmão  esta internado ele ediabético pg corona e foi entubado  e assim ele continua a minha cunhada tbm esta e hj meu irmao comecou apresentar os sintomase muito  triste e assustador;;
"1007,@g1,""@JPaulo_Maciel @Theuzin_do_pneu @TonhaoEterno @nakasashi @g1 Não foi o STF. É a CONSTITUIÇÃO quem dá esta autonomia. Os programas de combate ao coronavírus, vindo do governo federal, foram sucesso absoluto, lá na Nova Zelândia. Aqui no Brasil, o presidente passa ranho na população, chama de """"gripezinha"""" e coloca manicure como """"essencial"""".""";;
1008,@g1,@g1 Que dó. Q nojo de pessoas assim. #corona faça seu trabalho...;;
"1048,@g1,""@g1 Não é só o corona que mata, divulguem isso também!!!! https://t.co/fSLEgRtnMb""";;
"1050,@g1,""@g1 Só sei que estamos a 12 dias sem ministro da saúde, corona matando aos kg, guerra política já beira o caos e nosso Brasil tá se tornando um verdadeiro circoğŸ˜ """;;
"1083,@g1,""@g1 Quero parabenizar a Globo, STF e a militância do #FicaEmCasa por esse feito maravilhoso.";;
Parabéns.... Saldo com Corona 10 mil mortos e 860 mil zumbis...;;
#BolsonaroReeleito ;;
"#Bolsonaro2022 https://t.co/cIL1BxLEUg""";;
1114,@g1,@jvliuscaesar @g1 Esse aí­ acabou de morrer de corona.;;
"1124,@g1,""@brasiletube @Shazamcsgo1 @g1 Sim, nessa parte eu sei, um médico foi preso por ter avisado sobre o corona""";;
"1137,@g1,""@g1 Aqui no Brasil corona chegou nem no auge ainda fia, da pra testar por aqui mesmo""";;
1138,@g1,@g1 Td q eu qria é q esse corona fosse embora para poder ver o POVO agir energicamente na rua contra esses facistas! #ForaBolsonaro;;
1142,@g1,@FelixSouza99 @g1 Até parece que havíamos melhorado antes do corona. https://t.co/jtCOz0tayv;;
1143,@g1,@felipereaca @g1 Nossa!! mudou né?? Até parece que havíamos melhorado antes do corona https://t.co/eNYUECvKpt;;
1147,@g1,@g1 É por causa de seres humanos como esses que o coronavírus tá aí­ acabando com as vidas;;
"1152,@g1,""@g1 @renataloprete @camilabomfim @pablo_ortellado Cuidem bem o que vão defender&amp";"criticar. O que acontece agora é a tentativa de incriminar por viés político, chegando ao supra sumo do disparate de soltar bandidos pra não pegar corona!! Os próximos alvos podem ser vcs. Será??""";
1177,@g1,@g1 Força Corona!! https://t.co/BifTyl80PU;;
"1192,@g1,""@g1 Ricos, necro-políticos- empresários perderam o medo do Corona, já sabem que o vírus vai ficar restrito nas zonas pobres e matará mais pobres. Não é por acaso  zombam desses números, fazem carretas, debocham e o Gov. é lento na ajuda Ã  cidades e estados. ";;
"https://t.co/T66PKo5Dtf""";;
1197,@g1,@g1 E a cura do corona nada;;
"1207,@g1,""@g1 @SoniaBridi lá na terra das oportunidades, negros tem taxa de 60/1000000, enquanto os brancos apresentam 20/1000000 de mortes por corona.""";;
1229,@g1,@g1 Só mais um dia sem coronavírus no país;;
1281,@g1,@g1 E vamos de segundo pico de corona. Sendo que estamos ainda no primeiro.;;
1292,@g1,@g1 ninguem morre mais de outras doenças mas so de coronavírus!;;
1293,@g1,@sandronezi @LCNCLuizClaudio @g1 @RomeuZema Temos vários estados que estão se saindo muito bem em relação a mortes e contaminação do corona... Inclusive Goiís! Acho que levantar dúvidas sobre o governo de minas seria injusto... Ou não?;;
"1306,@g1,""@g1 E vamos de surto do corona novamente, o povo tá vivendo uma realidade paralela mesmo né???""";;
1308,@g1,@g1 E tem gente que acha que todo mundo precisa pegar corona pra se curar depois ğŸ˜’;;
1310,@g1,@g1 Porra corona sendo investigado prende logo essa praga  pra acabar com essa pandemia logo;;
1311,@g1,@g1 O corona agradece.;;
1314,@g1,@g1 Edgard Corona é o CEO da Smart Fit. Será coincidência as academias terem sido listadas como serviço essencial para reabertura?ğŸ¤”;;
"1315,@g1,""@g1 No minimo curioso o cara se chamar Otavio Fakhoury estar envolvido no esquema de fake news, assim como o Edgar Corona estar a serviço do coronavírus""";;
1316,@g1,@g1 Agora estou na dúvida... A Corona é uma fake news do Edgard Corona?;;
"1319,@g1,""@g1 Pensei que a matéria seria diferente,por culpa do coronavírus,foguete não pode ser lançado,pois pode infectar outros planetas.kkk""";;
"1335,@g1,""@g1 Ter corona não significa morrer.";;
É provável q entre uma população de 210 milhões,muito mais pessoas tenha o vírus.;;
Isto não significa morrer.;;
"As pessoas de risco,precisa evitar, mas não é pena de morte.Precisa se dirigir a um centro onde possa receber tratamento sem TV influência""";;
