,usuario,texto;;
"1161,@SF_Moro,""@rogeriotomazjr @SF_Moro @cynaramenezes @lolaescreva @zehdeabreu @marciojerry @delucca @AliciaCastroAR @feduba @jmkarg @RCasara @jeanwyllys_real Pq foi cancelada?";;
;;
"Será por causa do Corona?""";;
"1166,@SF_Moro,""@CarlaZambelli38 @SF_Moro tudo está explicado a interferencia na pf o medo de pegar os amigos os amigos do PR que ele queria proteger agora sabemos quem são ..edgar corona ,Luciano da havan ,dentre por isso o desespero do PR em proteger a família é os amigos dele""";;
"1175,@SF_Moro,""@SF_Moro O pior de tudo,é que existem ainda muitas pessoas de mau caráter,vc foi um falso pilar infiltrado no governo, a sua diferença em comparação ao coronavírus é que o tal virus tem como ser identificado com exames e vc pela suas atitudes demorou um pouco mais vc acabou desmoronando.""";;
1237,@SF_Moro,@SF_Moro CORONA MORO VIRUS PERIGOSO CONTAMINA A 10METROS DISTANCIA CUIDADO GENTE;;
"1246,@SF_Moro,""@thonycezarino @SF_Moro Cadê o corona, a imprensa não foi informada para evitar aglomerações?""";;
"1256,@SF_Moro,""@SF_Moro Nossa, acho que o problema no Brasil não é mais o Coronavirus. Será que a doença da vaca louca não está no Brasil tbm? Tem cada Gado louco que só Jesus pra tentar entender....#gadotatudolouco""";;
"1287,@SF_Moro,""@AbrahamWeint TÃ DELIRANDO? Solidariedade merecem ás vítimas do coronavírus, seu preconceituoso de uma figa, dizem que acreditam em Deus, ao mesmo tempo que pensam que Deus não está vendo suas atitudes. @joicehasselmann @moura_101 @SF_Moro @gcamarotti @alexandre @AndreiaSadi @priweinstein""";;
"1296,@SF_Moro,""@MauricioNardiJ5 @SF_Moro @LulaOficial passa pano pro lula que o bolsonaro se reelege. sera q nao percebe isso? lula esta feliz que nao foi eleito e esta passando pelo corona, isso sim. o que o estado tem feito de bom pra pandemia cara? 20k mortes cade o estado? o que os governadores e prefeitos conseguiram? acorda!!!""";;
"1369,@SF_Moro,""@SF_Moro Carteirinha para a Sérgio Malandro Moro.";;
"@SOCIO_CORONA""";;
"1382,@SF_Moro,""@AndarLeticia @RobertoLuiz7 @CarlosBolsonaro @EduartZanchetta @SF_Moro O gado não sabe nem que compras essenciais para o combate ao coronavírus dispensa licitações, essa mesma MP proposta pelo Mandetta dispensa também a vacinação obrigatória de cidaDÁos. Essa denuncia está liberada para enviarem ao dossiê de @kimpaim""";;
"1394,@SF_Moro,""@SF_Moro Tem gente sendo internada com dor nas pernas e sendo diagnosticada de corona. Na minha cidade ninguém mais morre de câncer, tiro, dengue...""";;
1401,@SF_Moro,@SF_Moro Vai moro se pronuncia sobre a roubalheira no Coronavirus;;
"1573,@SF_Moro,""@SF_Moro Boa mesmo, era o trabalho honesto do advogado Moro quando no governo.";;
"Governadores fazendo e acontecendo com os desvios de dinheiro público da campanha do coronavírus e a polícia federal sem mover uma palha.""";;
"1673,@SF_Moro,""Cloriquina , cloriquina , cloriquina .....";;
;;
Ups ....  nao está a funcionar!;;
;;
"#ForaBolsonaro  #ImpeachmentdoBolsonaroURGENTE  #coronavirus #Corona #Brasil @jairbolsonaro @SF_Moro @inst_lula @OGloboPolitica @folha @CNNBrasil https://t.co/zAkAsnPJyX""";;
"1676,@SF_Moro,""@SF_Moro O número de assassinato nas costas do corona isso sim, no Amazonas morre muitos porque vão para os hospitais, onde e6 o epicentro de contaminação,  os que são  cuidados em casa nunca morre.""";;
"1680,@SF_Moro,""@SF_Moro Engraçado, porque só agora está preocupado com as pessoas em relação ao coronavírus? O Sr: não se preocupou com essas mesmas pessoas quando permitiu a liberação de bandidos dos presídios? Me poupe viuğŸ™„""";;
1720,@SF_Moro,@JNRuecker @a_abdelmassih @gk_storeLi @SF_Moro Nos últimos 33 anos que ele está lá em Brasilia  diz pra mim o que ele fez ele tem mais teste de corona de que projeto aprovado...;;
"1725,@SF_Moro,""@SF_Moro Claro o cara caiu da lege pegou Coronavirus,a senhora nem havia morrido e já tinha até atestado de óbito, nossa.conhesso um senhor que tá com próstata avançada foi comprovado e quere. Por Coronavirus, claro que tá subindo os números""";;
1752,@SF_Moro,@ZRodrigues234 @joicehasselmann @jairbolsonaro @SF_Moro Oh dó do que o gado tá morrendo de corona.;;
"1774,@SF_Moro,""@allantercalivre @SF_Moro @jairbolsonaro Vish. O panos livres vive atento a qualquer postagem do Moro pra sempre falar uma gracinha. Também vida de blogueiro é assim mesmo. Não faz porra nenhuma. Vai trabalhar seu merda. Afinal """"corona é o caralho"""" né?""";;
1914,@SF_Moro,@bruumendonc @xmachado_s @jairbolsonaro @LulaOficial @SF_Moro @MarinaSilva @corona saudadisss;;
1916,@SF_Moro,@xmachado_s @bruumendonc @jairbolsonaro @LulaOficial @SF_Moro @MarinaSilva @corona leva tudo pro bar kkkkkkkk;;
1918,@SF_Moro,@dif_guido @xmachado_s @jairbolsonaro @LulaOficial @SF_Moro @MarinaSilva @corona KKKKKKKK guido vc é comédia dms n da;;
"1920,@SF_Moro,""@xmachado_s @bruumendonc @jairbolsonaro @LulaOficial @SF_Moro @MarinaSilva @corona pode levar esses ai, já deu o tempo deles""";;
"1952,@SF_Moro,""coronavírus, briga pela verdade enquanto todos os brasileiros pensam em como proteger suas famílias ,o chefe do governo pensa em como proteger seus filhos dos próprios ";;
"erros.@CarlosBolsonaro @jairbolsonaro @lhmandetta @GeneralMourao @rafaportugalc @lhmandetta @SF_Moro""";;
1991,@SF_Moro,@rosana70 @MarceloTas @SF_Moro O mundo todo cnn bbc todos canais de notícias falam de coronavírus pq aqui seria diferente?;;
"1992,@SF_Moro,""@MarceloTas @SF_Moro Pra que usar máscara em um momento desse? https://t.co/e58RKQGM1e é mtooool exagerada. Não assisto mais desde que ficou nessa insistência sem fim de Coronavirus, como se não tivesse outros assuntos. #redeglobo #tvglobo #fantastico""";;
"2051,@SF_Moro,""Bolsonaristas estão chamando o @SF_Moro de garota do fantástico. Será que eles esqueceram que o @jairbolsonaro era a garota do Super Pop? Mais um dia se passa e o governo se omite no combate ao Corona.";;
"#VaiTrabalharVagabundo #coronavirus""";;
2057,@SF_Moro,@Pedrowow3 @suzimeri @AnaBSavella @paula2ag @SF_Moro coronavírus...sai daí­....sai...lepra;;
"2067,@SF_Moro,""@SF_Moro A verdade é que você (também) está cagando e andando pra pandemia ğŸš¶â€â™€ï¸o coronavírus que lute perto de você desfocando o real problema da crise que o paí­s está enfrentando, pra ficar twittando como se fosse uma pessoa muy generosa, diria até um fofo, se não forçasse tanto.""";;
"2185,@SF_Moro,""@Dinapolis1 @ruirapina2 @SF_Moro Quem deu autoridade para Prefeitos e Governadores durante o coronavírus foi o STF, nosso Presidente é contra toda essa humilhação que fazem com o povo. Se informa mais. https://t.co/DORMSJSswf""";;
"2313,@SF_Moro,""@flyconserJB @senadorhumberto @jairbolsonaro @SF_Moro Bolsominions, vcs precisam ser estudados!";;
Uma reunião onde foi tratado somente o problema pessoal do presidente, onde não vimos sequer em um momento a preocupação com o avanço do coronavírus e as mortes provocadas por tal doença.;;
"Tantos palavrões vindo do Messias é feio né irmã?""";;
"2331,@SF_Moro,""@FabianoBontorin @Ester37522767 @VilelaSarinha @SF_Moro É  O que eu penso, a crise econômica é  inevitável, mas o melhor seria fechar tudo no começo, para voltar ao normal o mais rápido possível.";;
"E o PR poderia sair como um grande estadista contra o corona.""";;
2350,@SF_Moro,@SF_Moro Deve ser porque depois do corona as outras doenças se isentaram kkkkk;;
"2353,@SF_Moro,""@senadorhumberto @jairbolsonaro @SF_Moro Senadorzinho,não entendeu ainda q não importa palavrões? Sua burrice chega a tanto ou tá aqui só enchendo linguiça,alimentando a seita onde o líder comemora o coronavírus?! Estamos a 1 e 1/2 sem corrupção, é FANTÃSTICO! Vcs estão acabados tb é FANTÃSTICO! #BolsonaroCadaVezMaisForte""";;
2356,@SF_Moro,@SF_Moro coronavírus é sua traição seu judas Iscariotes;;
2379,@SF_Moro,@senadorhumberto @jairbolsonaro @SF_Moro Ainda bem q a natureza criou o coronavírus... essa fala tá melhor pra vc boneca ?;;
2394,@SF_Moro,@requiaopmdb @SF_Moro Cuidado com o corona véi gaga!;;
2396,@SF_Moro,@SF_Moro So resta se apegar ao corona pra ver se sai dessa né meu filho?;;
"2406,@SF_Moro,""@senadorhumberto @jairbolsonaro @SF_Moro KkkkkkğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ğŸ¤£ sério que é isso que vc tem contra o presidente, meus amigos coloquem aqui o que o Lula já falou de indecência, Há só para lembrar """"O MELHOR COISA QUE A NATUREZA JÁ CRIOU FOI ESSE CORONAVÍRUS"""" e fora as indecências que ele já falou Vampirão.""";;
"2431,@SF_Moro,""@SF_Moro Kkkkkkk. iluminati  /maçonaria /coronavírus /elite mundial /e etc  tudo isso . Muitos nao enxerga, Deus não está morto!  Isso vai da certo? Não sei só sei que tudo está no controle do senhor dos senhores.""";;
"2438,@SF_Moro,""@susanabra11 @SF_Moro Nossa, fico deveras impressionada, pela qualidade de gente """"Sem Cérebro Pensante"""", circulando por aí­, mais que o coronavírus!";;
Cabeça, não foi feita para usar chapéu ou boné e sim para pensar!;;
"Vcs precisam enxergar o que vai além da imagem que os olhos vêem!""";;
"2445,@SF_Moro,""@SF_Moro sera que esse paí­s tem jeito ?";;
presidente que não consegue governar;;
ministros que não conseguem trabalhar;;
governadores cada um fazendo uma coisa diferente no seu estado e situação piorando;;
"e  brasileiros morrendo de corona virús e passando necessidades.""";;
"2450,@SF_Moro,""@hjf1628 @PriSof @M0R02022 @SF_Moro Fhc é carta fora do baralho a anos. O único argumento q vcs tem pra defender o bostonaro são seus antecessores q nada mais influenciam no paí­s a um bom tempo. Enquanto isso, nosso pib uma merda, dolar lá em cima, sem nem se quer teste em massa de corona...""";;
2469,@SF_Moro,@gen_heleno  @JovemPanNews @jose_neumanne @AdrillesRJorge  @AnaPaulaVolei  @anaamelialemos @congemfoco @SF_Moro @CoronaVirusTime @corona_alerta Cientistas e acadêmicos brasileiros escrevem Carta Aberta ao Brasil sobre a â€œciênciaâ€ da pandemia de coronavírus https://t.co/zlqFr45kUV;;
2471,@SF_Moro,@Pretta_Jana @mary87437912 @LucasBo11756705 @SF_Moro @DamaresAlves Pra mim o babaca do Lula é do mesmo curral do Bolsonaro a diferença é que cada um fica numa ponta oposta do pasto. Segundo que o Ricardo Salles disse CLARAMENTE para aproveitar o coronavírus pra aprovar os projetos que liberam e regularizam os desmatadores da Amazônia;;
"2477,@SF_Moro,""@senadorhumberto @jairbolsonaro @SF_Moro Isso sim é um absurdo sem contar a corrupção, desvios da Petrobrás e do BNDES para paí­ses caloteiros que fazem falta agora durante a epidemia do corona. https://t.co/NeCrBo40Jj""";;
"2480,@SF_Moro,""@veiacritica @SF_Moro @jairbolsonaro """"Genteee como pode um presidente falar palavrão? ";;
"Roubar tudo bem, construir estádios no lugar de hospitais tudo bem, agradecer o coronavírus tudo bem. Agora , xingar . aí­ já  é  demais. """" Agora Bolsonaro cai. ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚""";;
"2492,@SF_Moro,""@senadorhumberto @jairbolsonaro @SF_Moro - Pelotas é exportadora de Viados";;
#NOME?;;
#NOME?;;
#NOME?;;
#NOME?;;
"e vai tomar no seu cw""";;
"2545,@SF_Moro,""@CarlaZambelli38 @SF_Moro @jairbolsonaro O vídeo mostra como os assuntos nacionais são tratados. De maneira amadora , uma espécie de botequim. Ali só salva o Guedes e Mouro. O resto parecia viver em um mundo paralelo , onde não existia Corona, onde o comunismo ia voltar, e onde o respeito ao próximo não existe!!""";;
2548,@SF_Moro,@SF_Moro Não é piada mesmo o coronavírus!!!! Mas vc Serginho é kkkkk piada obrigada por confirmar meu voto no Bolsonaro 2022;;
"2556,@SF_Moro,""@SF_Moro Parabéns, Sérgio Moro, por, mais uma vez, fazer valer seus princípios e não se deixar contaminar por esse vírus que, a tempos, contamina esse paí­s, que é muito mais doentio e fatal que o """"CORONA"""".Pois, enquanto este mata o físico, o outro matou a inteligência do povo brasileiro.""";;
"2561,@SF_Moro,""@CarlaZambelli38 @SF_Moro Acho que você vive em mundo paralelo. Não tem condição parece ser um robô a trabalho do bozo. É a população que está sendo dizimadas pelo corona, se você si dedicasse ao povo tanto quanto fica no Twitter, não estaria do jeito que está. Vá trabalhar!""";;
"2594,@SF_Moro,""@SF_Moro Tu é um comédia,como ministro não botou bronca com ninguém.";;
Agora vem com cuidado com o corona!;;
Tenha dó,pois o povo já sabe o que é essa gripe.;;
"Só não sabemos o quê se passou na sua cabeça.""";;
"2617,@SF_Moro,""@SF_Moro Claro que o coronavírus não é  piada.";;
"Piada foi você falar que o presidente queria interferir na PF, mas a piada ficou sem graça e mito feio pra ti que foi um homem muito admirado.""";;
2648,@SF_Moro,@KrattusBR @VGalgania @SF_Moro Deixa de ser burro.....O Brasileiro ja acordou a muito tempo.....que história é esta de corona?? Ta igual aos imbecis de sempre que acusam Bolsonaro por tudo.??? Cria vergonha e da uma olhada para a pesquisas e veras que Bolsonaro hoje seria reeleito sim !!!#BolsonaroReeleito;;
"2658,@SF_Moro,""@SF_Moro O Sr perdeu a oportunidade de ajudar o paí­s na luta contra do coronavírus e a roubalheira feita pelos políticos  aproveitadores.";;
"Menino mimado.""";;
"2659,@SF_Moro,""@SF_Moro Mil mortos por dia? Precisa investigar isso ai, minha avó deu entrada no hospital, com AVC e queriam botar corona na ficha dela, ameacei chamar a polícia  (dessas que trabalham, sabe como é?)""";;
2670,@SF_Moro,@Fernand23354292 @CarlaZambelli38 @SF_Moro Cuidado. A inveja mata mais q o corona.;;
